,reward,profit,carbon_cost,excess_charge,max_profit
10000,"[0.0, 1.8740640391281893, 1.6953028355232083, 1.157466735915662, 0.18825898084267056, 0.7135005804068114, 2.6176101551659032, 2.4403435693299884, 2.181420756778654, 2.669394397776869, 2.9537931308167305, 1.1342990823865906, 0.5781902779723614, 0.0]","[0.0, 2.802583890006624, 3.177204815589177, 2.392844431753084, 0.2938000000000003, 0.9240183096939155, 3.945949152677901, 3.550068995522165, 3.1591860946690784, 3.696295623564348, 3.832136994304501, 1.6876202114877223, 0.943307989601578, 0.0]","[0.0, 0.9285198508784359, 1.4819019800659685, 1.235377695837427, 0.10554101915732973, 0.2105177292871044, 1.3283043308453273, 1.1097254261921796, 0.9777653378904246, 1.0269012257874783, 0.8783091968211045, 0.553321129101134, 0.3651177116292166, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
20000,"[0.0, 1.8342973793187882, 1.7409233134763902, 1.1420622513290906, 0.1827401952133523, 0.7244053050986808, 2.5579183110302974, 2.6660832474399863, 2.2434502446816804, 2.7762900994331297, 2.8980417752935845, 1.1864912078158687, 0.5767112982719729, 0.0]","[0.0, 2.766897683379294, 3.301984906281434, 2.341428592310251, 0.2750800000000009, 0.942328763519575, 3.8472562144009514, 3.846468109901762, 3.2563921384810173, 3.8367368171791125, 3.757185802572985, 1.7582108663276583, 0.9868369017827594, 0.0]","[0.0, 0.9326003040605068, 1.5610615928050444, 1.1993663409811648, 0.09233980478664854, 0.21792345842089406, 1.2893032367039865, 1.1803848624617728, 1.0129418937993335, 1.060446717745983, 0.8590920272793998, 0.5717196585117907, 0.41012560351078664, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
30000,"[0.0, 1.8251564022715077, 1.6271008972558505, 1.1715721203676475, 0.15858799123121958, 0.7612875912667922, 2.6417019323362307, 2.64612966298324, 2.217657856809726, 2.753391414572336, 3.108266666501368, 1.3309575667946942, 0.6533722296408083, 0.0]","[0.0, 2.748293373687004, 3.0336731428552275, 2.4272663404107515, 0.25220000000000087, 0.9894323477892485, 3.987057953050681, 3.8215842929373736, 3.23997483551936, 3.8237802191062453, 4.031748848822398, 1.9628694440191308, 1.099423028398319, 0.0]","[0.0, 0.9231369714154946, 1.4065722455993777, 1.2556942200431074, 0.09361200876878124, 0.22814475652245636, 1.3453386873811166, 1.1754546299541335, 1.0223169787096356, 1.070388804533908, 0.9234821823210279, 0.631911877224439, 0.4460507987575109, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
40000,"[0.0, 1.9565794476841705, 1.6554187103279143, 1.1658583660443094, 0.15865387910886217, 0.6980872890879117, 2.5867061951795463, 2.7063938408778823, 2.2613778407127527, 2.728462635357568, 2.970703021349232, 1.2292345476282953, 0.6442984786994317, 0.0]","[0.0, 2.9126025559184523, 3.13397402220745, 2.397829253286769, 0.25271999999999994, 0.9079768997986551, 3.892243856054763, 3.9237092314964994, 3.273206281017498, 3.759197463523255, 3.8500176198087654, 1.8373653258207145, 1.0740418735563804, 0.0]","[0.0, 0.9560231082342822, 1.4785553118795371, 1.2319708872424617, 0.09406612089113775, 0.20988961071074314, 1.3055029942085499, 1.2173153906186172, 1.0118284403047455, 1.0307348281656863, 0.8792625984595355, 0.60813077819242, 0.4297433948569484, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
50000,"[0.0, 1.8026071114501032, 1.6481350478033985, 1.114673715310958, 0.18289302634933735, 0.683614109929627, 2.4898576066960096, 2.7304704527840995, 2.335413572386843, 2.696766928369341, 3.0619575694927037, 1.2826508543885602, 0.6149012232041493, 0.0]","[0.0, 2.6763961943857724, 3.152409352717496, 2.3069129189563133, 0.2828800000000007, 0.8813805398853535, 3.756985294906459, 3.9697061430305594, 3.39941787613543, 3.73065793189729, 3.963908499066352, 1.9123760477812577, 1.0640620214497556, 0.0]","[0.0, 0.8737890829356707, 1.5042743049140979, 1.192239203645357, 0.0999869736506633, 0.19776642995572644, 1.2670930215437852, 1.2392356902464594, 1.0640043037485862, 1.0338910035279503, 0.9019162629069805, 0.6297251933926977, 0.44916079824560606, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
60000,"[0.0, 1.882188003985886, 1.669142213858185, 1.1326795691573137, 0.1969264654858982, 0.7614959788003951, 2.746772612004299, 2.659668311282519, 2.16146378159837, 2.7064386866707215, 2.876046698593254, 1.2498385625938646, 0.6527034193598998, 0.0]","[0.0, 2.7793539326224503, 3.1148840076460385, 2.3478039061491858, 0.30056000000000094, 1.0049120938464056, 4.134583287720856, 3.844047337424647, 3.1439218555973145, 3.7403820585598853, 3.7363181633830025, 1.8586490332006982, 1.0956239060136324, 0.0]","[0.0, 0.8971659286365646, 1.4457417937878543, 1.215124336991875, 0.10363353451410273, 0.2434161150460106, 1.3877933423832238, 1.1843790261421296, 0.9824580739989462, 1.0339433718891635, 0.8602714647897471, 0.6088104706068335, 0.4429204866537327, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
70000,"[0.0, 1.891991906946133, 1.7172370948628415, 1.1389152158898763, 0.1793135057261176, 0.7271529239500147, 2.6589250728395855, 2.6226944803717593, 2.2415989021507703, 2.626644241390377, 3.0107774997260397, 1.0933658605087087, 0.6090238081466017, 0.0]","[0.0, 2.8491535801652446, 3.2361314142731636, 2.3871392276437877, 0.28392000000000017, 0.9521247367908684, 4.002087936633186, 3.81122362714879, 3.2508493264326024, 3.634573985103217, 3.9039622823607596, 1.640668183423577, 1.0301119140684474, 0.0]","[0.0, 0.9571616732191114, 1.5188943194103255, 1.2482240117539152, 0.10460649427388259, 0.22497181284085357, 1.3431108637935998, 1.1885291467770311, 1.0092504242818303, 1.0079297437128407, 0.8931327826347202, 0.5473023229148692, 0.421088105921846, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.200000000000024e-05, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
80000,"[0.0, 1.9994498560783192, 1.6965970877500858, 1.0996666756246474, 0.22301417198129217, 0.6936735034691072, 2.477785453328336, 2.7577507107421777, 2.2501292438690683, 2.6697604942570985, 3.0456799375632535, 1.2932725857112832, 0.6816793720536423, 0.0]","[0.0, 2.9914062762529325, 3.22811377785607, 2.28899583517578, 0.3473600000000008, 0.9001545880107861, 3.6989477239811897, 3.9849381984508025, 3.3055475228270774, 3.700686045021815, 3.9384560831844744, 1.9217988354220168, 1.1686997937038406, 0.0]","[0.0, 0.9919564201746142, 1.5315166901059836, 1.189311826217802, 0.12434582801870861, 0.2064810845416787, 1.2211449373195222, 1.2271874877086255, 1.055418278958009, 1.0309255507647168, 0.8927414789545546, 0.6285262497107349, 0.48702042165019904, 0.0]","[0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 1.733333333333358e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
90000,"[0.0, 1.7815424637784738, 1.6579113939544552, 1.1350536421321795, 0.1820617499615191, 0.7137455722382389, 2.688215881742758, 2.715553896652973, 2.297289560185075, 2.7374575439399838, 2.9791142951159784, 1.3111863906741255, 0.5791492176202093, 0.0]","[0.0, 2.645393088356546, 3.1072868838119083, 2.3068879018735355, 0.2818400000000002, 0.9278829678349594, 4.0523468285622455, 3.9224792635194023, 3.355357133970111, 3.787068797685883, 3.8639301890497597, 1.9341866634648184, 1.001563093632808, 0.0]","[0.0, 0.8638506245780722, 1.4493754898574545, 1.1718342597413587, 0.0997782500384811, 0.21413739559672054, 1.3641136134861527, 1.2069253668664304, 1.058067573785037, 1.0496112537459001, 0.8848158939337811, 0.6230002727906947, 0.4224138760125985, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.733333333333358e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
100000,"[0.0, 1.8909126538563756, 1.7033567174068518, 1.1845624395502938, 0.2192665378464739, 0.7452664122540954, 2.5965317372378056, 2.64131528517494, 2.1863461279835943, 2.696036764877186, 3.048187980486951, 1.253991670912974, 0.5349058500780136, 0.0]","[0.0, 2.837013687703639, 3.177051384048135, 2.4456475127002677, 0.33384000000000047, 0.9761287635195756, 3.902105062071751, 3.8437027435174067, 3.1855807665627385, 3.725831003802365, 3.952217019279068, 1.85634006015168, 0.8921367288483361, 0.0]","[0.0, 0.9461010338472637, 1.4736946666412842, 1.2610850731499768, 0.11457346215352648, 0.2308623512654797, 1.3054866581672802, 1.2023874583424676, 0.9992346385791422, 1.0297942389251826, 0.904011705458783, 0.6023483892387062, 0.3572308787703223, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.666666666666667e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
