,reward,profit,carbon_cost,excess_charge,max_profit
10000,"[0.0, 1.8115038979414189, 1.6325132755522587, 1.186932871046501, 0.19804509071910675, 0.7356544350793122, 2.6436532872292076, 2.5605181661232734, 2.202695644700115, 2.81928397554958, 3.0400788493562456, 1.1710639671288023, 0.6104769391679086, 0.0]","[0.0, 2.6703979341186854, 3.0758006731938767, 2.4485881159452867, 0.31147999999999954, 0.9581397853103016, 3.996662709532161, 3.725404627146923, 3.2015000112416234, 3.8950541220012282, 3.942125395008943, 1.764653543510537, 1.0394228847808562, 0.0]","[0.0, 0.8588940361772683, 1.4432873976416183, 1.2616552448987872, 0.11343490928089271, 0.22248535023098898, 1.3529747556362877, 1.1648864610236498, 0.9988043665415103, 1.0757701464516483, 0.9019945456526962, 0.5935895763817357, 0.4289459456129474, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
20000,"[0.0, 1.837817559516861, 1.6967684769669897, 1.1605785136052085, 0.2387748201277857, 0.7894914499837846, 2.6205339810622856, 2.788609911571032, 2.2220202633840405, 2.804642827690075, 3.0448118600047214, 1.304201922331474, 0.6380876063367189, 0.0]","[0.0, 2.720906909224489, 3.2453087241092353, 2.410901052374202, 0.3640000000000009, 1.030663667925923, 3.9758039237051115, 4.030945235411287, 3.2299109469080687, 3.8859518626238634, 3.936646889306316, 1.9391104188489123, 1.0736478217020058, 0.0]","[0.0, 0.8830893497076299, 1.5485402471422458, 1.2503225387689947, 0.1252251798722152, 0.2411722179421383, 1.355269942642825, 1.2423353238402541, 1.007890683524025, 1.081309034933787, 0.8917310293015963, 0.6349084965174384, 0.4355602153652866, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010400000000000001, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
30000,"[0.0, 1.7977818096441232, 1.72330107903014, 1.1542043673074263, 0.18241386756300346, 0.7711417704972561, 2.58486718521918, 2.786164425685653, 2.2801529116557004, 2.63118588322973, 2.9376079749246755, 1.17135896692544, 0.647878415627694, 0.0]","[0.0, 2.672510546284437, 3.1320323366779617, 2.377565281448002, 0.27820000000000067, 0.9983988795670202, 3.8990223954054235, 4.014008407330879, 3.3280280240820836, 3.6468801061288327, 3.815341841023377, 1.7522722428777513, 1.072405527228072, 0.0]","[0.0, 0.8747287366403145, 1.4087312576478248, 1.2233435808072433, 0.09578613243699718, 0.22725710906976415, 1.314137876852914, 1.2278439816452296, 1.0478751124263839, 1.0156942228991042, 0.8776645327653703, 0.5809132759523113, 0.4245271116003779, 0.0]","[0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 6.933333333333333e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
40000,"[0.0, 1.8869988786116694, 1.8629217123081636, 1.1573978471972484, 0.18556178460990855, 0.7480521138624051, 2.540889319532605, 2.7634143122739943, 2.294427560995199, 2.6705692739791203, 3.0363237215837633, 1.2660689722109504, 0.6228925768764846, 0.0]","[0.0, 2.8180479113303774, 3.439462969422595, 2.3791296608852184, 0.2932800000000002, 0.9709180377058806, 3.8270519117043227, 3.982277322455204, 3.350155768343886, 3.688740675465848, 3.9298400251608845, 1.87786243910705, 1.040849273331368, 0.0]","[0.0, 0.9310490327187076, 1.576541257114433, 1.221731813687973, 0.10771821539009159, 0.2228659238434756, 1.2860932588383835, 1.218863010181209, 1.055728207348686, 1.0181714014867278, 0.8934989702437873, 0.6117934668961011, 0.41795669645488326, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.933333333333406e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
50000,"[0.0, 1.8869143117199858, 1.7815988696206728, 1.0820939631548896, 0.2304993355577292, 0.7169722717585499, 2.5892492745797235, 2.7547749388953355, 2.423282321800579, 2.82154683284539, 3.1527573370259, 1.163930101867787, 0.6367702962362425, 0.0]","[0.0, 2.8009384621108655, 3.261748326122126, 2.2729695837252244, 0.36296000000000006, 0.9251494928584296, 3.919799984333777, 3.993616249168061, 3.5234098816552573, 3.8882194374375176, 4.085555924842289, 1.7322087635195744, 1.1043613877859704, 0.0]","[0.0, 0.9140241503908821, 1.4801494565014535, 1.1908756205703372, 0.1324606644422708, 0.20817722109987974, 1.3304987097540544, 1.2388413102727258, 1.1001275598546751, 1.0666726045921264, 0.9327639211497228, 0.5682786616517888, 0.4675910915497282, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.200000000000024e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
60000,"[0.0, 1.9948312502375842, 1.8317564370915853, 1.1548877736439604, 0.15802323904233906, 0.7447060731754375, 2.6577514431492264, 2.5455445883299745, 2.3213161876238697, 2.7123276256920335, 3.0002829075315165, 1.2733005666791346, 0.6242611966703945, 0.0]","[0.0, 2.9984320006018272, 3.378405277692153, 2.3738045039415927, 0.2459600000000003, 0.9659896726363849, 4.019419452601602, 3.6815473438485866, 3.388528257741197, 3.753831775170839, 3.8952167342982875, 1.876682516402714, 1.0454781457576792, 0.0]","[0.0, 1.003600750364243, 1.5466488406005672, 1.218916730297635, 0.08793676095766119, 0.22128359946094758, 1.3616333427857097, 1.1360027555186112, 1.067212070117327, 1.0415041494788073, 0.894916493433438, 0.6033819497235815, 0.4212169490872847, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.466666666666715e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
70000,"[0.0, 1.950194190683156, 1.6377416561978062, 1.1256198079777708, 0.18055687884978214, 0.722721621496347, 2.578910799586971, 2.5392838078622186, 2.310355575596534, 2.8675010020907292, 3.0241050090003814, 1.2288000148736589, 0.5354852285375707, 0.0]","[0.0, 2.911451889726033, 3.165230403805301, 2.3285768643821574, 0.28340000000000076, 0.9415576884610307, 3.8748533896450983, 3.680824261603468, 3.366788850347165, 3.96739353370153, 3.9126848857104783, 1.831838921581553, 0.8767193575163819, 0.0]","[0.0, 0.9612576990428764, 1.5274887476074956, 1.202957056404389, 0.10284312115021862, 0.21883606696468397, 1.295925256724795, 1.1415404537412512, 1.0564332747506318, 1.0998925316108026, 0.8885452100434309, 0.6030389067078947, 0.3412341289788111, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
80000,"[0.0, 1.9010506671172145, 1.7130055942028048, 1.185945479340737, 0.16484125940644145, 0.6764089409836792, 2.617131724046491, 2.6812158712338183, 2.327900612466537, 2.8553681845714376, 3.0016546225522114, 1.2496572639732766, 0.5785666901808725, 0.0]","[0.0, 2.8528056494744845, 3.1809731410887014, 2.426381355913358, 0.2631199999999998, 0.8712539207737433, 3.9537157991984295, 3.862682597977396, 3.386384858919625, 3.9615159864372216, 3.896441752021399, 1.8594380466863452, 0.9784406200720541, 0.0]","[0.0, 0.9517549823572704, 1.4679675468858986, 1.2404358765726236, 0.09827874059355833, 0.1948449797900642, 1.336566741818605, 1.1814667267435783, 1.0584842464530857, 1.1061478018657864, 0.8947177961358564, 0.6097807827130698, 0.3998739298911815, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 6.933333333333333e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
90000,"[0.0, 1.960694296596765, 1.8582890549139772, 1.1940870645902601, 0.1243703199735677, 0.7066424011539478, 2.5187240586543957, 2.5899686503212482, 2.402159069007455, 2.7378611877483157, 3.0505995841329283, 1.2801477188970747, 0.6144041278432811, 0.0]","[0.0, 2.9281513807992416, 3.428243841183491, 2.4368224666940037, 0.20072, 0.9085265731322791, 3.788409790626038, 3.758524304530531, 3.49800349318732, 3.785058794734255, 3.95633723236614, 1.8930609470738802, 1.026896734849919, 0.0]","[0.0, 0.9674570842024767, 1.5699547862695153, 1.2427354021037469, 0.07634968002643229, 0.20188417197833142, 1.269685731971643, 1.1685556542092814, 1.0958444241798675, 1.0471976069859423, 0.9057029815665434, 0.6129132281768072, 0.41249260700663765, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
100000,"[0.0, 1.8577343638018882, 1.7392001636792502, 1.162516687210472, 0.17597977950835664, 0.7115073549900904, 2.7119632333015975, 2.6103102506105986, 2.25167540409728, 2.84834558259267, 3.0963923880139066, 1.2277139162599984, 0.6118395201855775, 0.0]","[0.0, 2.7854260351326574, 3.226146495741575, 2.384742837045038, 0.28444000000000025, 0.9207027177817895, 4.1007934196794675, 3.774978859322575, 3.2767283353795613, 3.938515375359736, 4.008688068271745, 1.799582497295377, 1.0521575965837369, 0.0]","[0.0, 0.9276916713307727, 1.4869463320623262, 1.2222261498345697, 0.10846022049164358, 0.20919536279169898, 1.388795519711206, 1.1646686087119786, 1.0250529312822827, 1.0901697927670664, 0.9122783469245072, 0.5718685810353792, 0.4403180763981594, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
110000,"[0.0, 1.8706562175359398, 1.6913658681332926, 1.1321728822131853, 0.1951640894937362, 0.6943540745955993, 2.4971869505095756, 2.6559804965689975, 2.289891735387266, 2.9264204258871573, 3.0642043366502336, 1.248907756589983, 0.6617530382386276, 0.0]","[0.0, 2.7825991141483324, 3.2000139796547398, 2.37088078146476, 0.30784000000000067, 0.9047147569156297, 3.761199181676301, 3.876499294341575, 3.3372854596785646, 4.056081371803484, 3.964214674834122, 1.8580660057003162, 1.116776187691323, 0.0]","[0.0, 0.9119428966123945, 1.5086481115214505, 1.2387078992515768, 0.11267591050626442, 0.21036068232003033, 1.2639602311667264, 1.2205187977725773, 1.0473937242912972, 1.1296609459163276, 0.8999063381838883, 0.6091582491103349, 0.4550231494526959, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0, 0.00010400000000000001, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
120000,"[0.0, 1.955864019459478, 1.792562987030187, 1.1629014952363403, 0.15607302087622518, 0.7554412645718228, 2.5644565483465542, 2.6089138842376287, 2.180614527538703, 2.783910056301009, 2.9763901365345724, 1.1672555653877652, 0.669812199846508, 0.0]","[0.0, 2.918511686532973, 3.3635366952379946, 2.4142472276421296, 0.23972000000000104, 0.9869925699265287, 3.875954262132372, 3.778007551904954, 3.1868898401897705, 3.8548996780229525, 3.8523928348472203, 1.7036167985142738, 1.139181710170509, 0.0]","[0.0, 0.9626476670734948, 1.5709737082078084, 1.2513457324057928, 0.08364697912377582, 0.2315513053547062, 1.3114977137858181, 1.1690936676673276, 1.0062753126510684, 1.070989621721946, 0.8759853649793167, 0.5363612331265084, 0.4693695103240013, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
130000,"[0.0, 1.9248893419762165, 1.7407293598535398, 1.1269625548129105, 0.13793210195262184, 0.7182044193330327, 2.6619500156621325, 2.6865340253114995, 2.3148261598209543, 2.9029471226930013, 3.041899606479152, 1.1829622631207637, 0.720638111631609, 0.0]","[0.0, 2.85662511554693, 3.2811839964763387, 2.325438889056939, 0.22204000000000046, 0.9374176541186423, 4.01871868755498, 3.8939079209255456, 3.3744415337023552, 4.012594824853753, 3.9387588595235106, 1.7533281736276747, 1.224782863545085, 0.0]","[0.0, 0.9317357735707131, 1.5404546366227985, 1.19847633424403, 0.08410789804737862, 0.21921323478560936, 1.356716671892848, 1.2073738956140463, 1.059615373881402, 1.1096477021607527, 0.8968072530443597, 0.5703659105069125, 0.5041447519134765, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.200000000000025e-05, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
140000,"[0.0, 1.8467038693957305, 1.7498074197532103, 1.1650114953730861, 0.1996736371070138, 0.6420323277387208, 2.5986284779235187, 2.7794951721392156, 2.324506973292251, 2.753956421660484, 3.1713669450749635, 1.1434272032800892, 0.7154182425712611, 0.0]","[0.0, 2.7528727255393584, 3.297645195706297, 2.458765160781978, 0.32084000000000057, 0.8163016324237772, 3.9143443727735736, 4.039920237332147, 3.3690616669870144, 3.812622473166225, 4.101832157514164, 1.692020060151681, 1.2140171659193082, 0.0]","[0.0, 0.9061688561436295, 1.5478377759530877, 1.293753665408895, 0.12116636289298674, 0.17426930468505633, 1.3156118948500555, 1.2604250651929343, 1.0445546936947632, 1.058666051505744, 0.9304132124392008, 0.548592856871592, 0.4985989233480471, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010400000000000001, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
150000,"[0.0, 1.8873187795160598, 1.7443637502273708, 1.18961229112155, 0.20964312003820884, 0.6922392879983098, 2.610967001755281, 2.730554931328912, 2.345436083823315, 2.650269071992841, 3.0160936747258185, 1.1836218623741532, 0.6500063972047043, 0.0]","[0.0, 2.8381784731651383, 3.2545156604536274, 2.4492158867491796, 0.32552000000000025, 0.8928200015490546, 3.9448269148693678, 3.9424751803106743, 3.424424469341796, 3.6660929099993917, 3.9005913390828697, 1.7432809114703287, 1.0583906502046845, 0.0]","[0.0, 0.9508596936490775, 1.5101519102262582, 1.259603595627632, 0.11587687996179137, 0.20058071355074497, 1.3337905797807537, 1.2119202489817638, 1.078988385518484, 1.0158238380065507, 0.8844283310237183, 0.5596590490961756, 0.4083842529999804, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.933333333333333e-05, 0.0, 0.0, 0.0, 6.933333333333333e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
160000,"[0.0, 2.1150109248494715, 1.71953727778885, 1.1428846553991043, 0.19752247604846487, 0.7917525876472445, 2.702240756231954, 2.778149573677095, 2.353662827339369, 2.8150627992478707, 3.024972265319325, 1.2499758848572275, 0.6247208654030039, 0.0]","[0.0, 3.115981776019485, 3.232073888877358, 2.4115094446023067, 0.3177200000000011, 1.032037462244972, 4.077626295811145, 4.012787202526939, 3.3903305036818985, 3.8925827779620135, 3.90950817172673, 1.8374143985555889, 1.063288033287554, 0.0]","[0.0, 1.0009708511700173, 1.5125366110885115, 1.2686247892032052, 0.12019752395153624, 0.24028487459772754, 1.3753335395791877, 1.2346376288498455, 1.0366676763425295, 1.0775199787141436, 0.8845012397407407, 0.5874385136983626, 0.43856716788455014, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
170000,"[0.0, 1.9210182975091905, 1.7368515248825518, 1.1576984914066655, 0.1962305865761512, 0.73621123717362, 2.6247009689965823, 2.6603691134133, 2.3340975464691733, 2.9014897531071786, 3.0697144751115673, 1.2017084563187868, 0.6197105916342454, 0.0]","[0.0, 2.8407521837630214, 3.1750229014627362, 2.3970438020225533, 0.307840000000001, 0.9636169790701387, 3.962528511466843, 3.8570066720599665, 3.38071905298749, 4.000269903047121, 3.982598093905673, 1.7921061574302461, 1.0539430748762255, 0.0]","[0.0, 0.9197338862538307, 1.4381713765801873, 1.2393279772825574, 0.11160941342384975, 0.22740574189651871, 1.3378275424702641, 1.1966375586466693, 1.0466215065183215, 1.0987801499399434, 0.9128662854607736, 0.5903977011114601, 0.43423248324198027, 0.0]","[0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
