,reward,profit,carbon_cost,excess_charge,max_profit
10000,"[0.0, 1.8578285675063864, 1.7112884641390314, 1.147858922818095, 0.16649605835482387, 0.6895147774095894, 2.5659438690884695, 2.610289287684008, 2.309057783050069, 2.600294874902309, 2.880605292854266, 1.2669838701733218, 0.6134419003118504, 0.0]","[0.0, 2.751589431247931, 3.2213373929712117, 2.3853053368733104, 0.26156000000000057, 0.8972053265224578, 3.8469515412320425, 3.7793862571896715, 3.339654262614888, 3.589193099205786, 3.729834185094827, 1.8637557734624457, 1.0433348453945956, 0.0]","[0.0, 0.8937608637415485, 1.5100489288321812, 1.2374464140552197, 0.09506394164517669, 0.2076905491128681, 1.2809903388102408, 1.169096969505666, 1.0305964795648213, 0.9888982243034791, 0.8491942255738915, 0.5967719032891258, 0.429892945082745, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.733333333333358e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
20000,"[0.0, 1.8076568861730204, 1.742676932709151, 1.128688713686419, 0.2074209755118627, 0.6927769002981508, 2.488029667812515, 2.5684684957002526, 2.2587515809176626, 2.5623021327719777, 2.8433535868980395, 1.170055417077233, 0.6141403547793935, 0.0]","[0.0, 2.694963090091365, 3.2913637196836536, 2.3330101607518765, 0.3312400000000001, 0.8952984545747875, 3.7393290373316, 3.712145178138639, 3.285520229680727, 3.5395570897932185, 3.6929560492221363, 1.735012137373475, 1.0381655949651534, 0.0]","[0.0, 0.8873062039183459, 1.5486867869745042, 1.2043214470654604, 0.12381902448813738, 0.20252155427663654, 1.2512820361857573, 1.143676682438388, 1.0267686487630676, 0.9772549570212431, 0.8495851289907645, 0.5649567202962436, 0.42402524018575993, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
30000,"[0.0, 1.927617026582455, 1.6748102785731074, 1.23095508361444, 0.15460230866279667, 0.7060764638129658, 2.505806311478799, 2.665823814238039, 2.293416447753897, 2.603852207084487, 2.9208948615357073, 1.2070265580429673, 0.6337018116772128, 0.0]","[0.0, 2.8723305401691985, 3.161081350987372, 2.50931624812036, 0.24387999999999832, 0.917447160650512, 3.775720572767028, 3.842920407757793, 3.358554819672358, 3.5989311161186595, 3.8074070652411525, 1.7687136410900142, 1.0740866332906913, 0.0]","[0.0, 0.9447135135867465, 1.4862710724142685, 1.2783611645059232, 0.08927769133720163, 0.21137069683754614, 1.2699142612882308, 1.1770965935197577, 1.0651383719184606, 0.9950789090341735, 0.8865122037054478, 0.5616870830470483, 0.44038482161347864, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4632148173016805e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
40000,"[0.0, 1.959810953205028, 1.6827760621168708, 1.1277012177754246, 0.1560209659672906, 0.7696717990969905, 2.4577076061370144, 2.515173682639551, 2.231243231508993, 2.720041042742613, 2.9188356220128817, 1.3106661018986936, 0.556991763605971, 0.0]","[0.0, 2.9186447727611133, 3.125439477896133, 2.321922779290004, 0.24283999999999983, 1.004586061892057, 3.6951251620240857, 3.647180665115914, 3.2376759706398777, 3.7692212000400827, 3.7834331000283474, 1.9474857778320889, 0.9232720938464013, 0.0]","[0.0, 0.9588338195560869, 1.442663415779263, 1.194221561514582, 0.08681903403270926, 0.2349142627950665, 1.2374175558870744, 1.132006982476364, 1.006432739130883, 1.0491801572974702, 0.8645628113488, 0.6368196759333986, 0.3662803302404302, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
50000,"[0.0, 1.8069961683714801, 1.6310848971247522, 1.100922176226301, 0.17922230641292064, 0.7037896783634466, 2.634331563087733, 2.463347430948435, 2.244134767786017, 2.5989335754102654, 2.8838267166782887, 1.2816862884629037, 0.6181830034526393, 0.0]","[0.0, 2.702190175505333, 3.1305344661920125, 2.312293823747853, 0.28444000000000025, 0.9106167274095192, 3.990305497338465, 3.5672734432123407, 3.2416413573830405, 3.5925879696174228, 3.7414982211595027, 1.8826239531810527, 1.0152673898483249, 0.0]","[0.0, 0.8951940071338552, 1.4994495690672613, 1.2113716475215548, 0.10521769358707955, 0.20682704904607235, 1.3559566009174016, 1.103926012263906, 0.9975065895970248, 0.9936543942071595, 0.8576541711478838, 0.6009376647181511, 0.39708438639568583, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
60000,"[0.0, 1.8415447184005485, 1.7094527888486777, 1.100021430644667, 0.1630367186732239, 0.6653745938716358, 2.5744409831461743, 2.6071380339503887, 2.3332503355314578, 2.531767783888574, 2.9893676773844344, 1.2086720864956695, 0.6280379682754968, 0.0]","[0.0, 2.742331317922363, 3.176572346972105, 2.275679526072122, 0.25063999999999964, 0.8674030936328057, 3.8904068747872023, 3.7596078884646884, 3.3949951180461744, 3.4944312678210796, 3.873130420613458, 1.8032351946351168, 1.0477228306435376, 0.0]","[0.0, 0.9007865995218176, 1.4671195581234329, 1.1756580954274567, 0.08760328132677574, 0.2020284997611699, 1.3159658916410328, 1.152469854514301, 1.0617447825147184, 0.9626634839325064, 0.8837454098956914, 0.5945631081394498, 0.41968486236804065, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4632148173016805e-19, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
70000,"[0.0, 1.86590423018551, 1.6701235860361243, 1.1420129246421504, 0.18987117921108726, 0.6899146886915882, 2.531023476422611, 2.5059194929201642, 2.159921179243049, 2.5414314230890636, 2.9462753971361915, 1.2703819141318855, 0.6384627893945429, 0.0]","[0.0, 2.801485574915351, 3.136496843158649, 2.3751516285856256, 0.3005599999999996, 0.8953202507024379, 3.8043992371028086, 3.6299700867036058, 3.143477438770297, 3.517234118175783, 3.827024197069852, 1.8704830936328065, 1.0635343027271285, 0.0]","[0.0, 0.9355813447298453, 1.4663732571225272, 1.2331387039434782, 0.11068882078891235, 0.20540556201084992, 1.2733064273468653, 1.1240505937834417, 0.9835562595272493, 0.9758026950867215, 0.8807141332669949, 0.6001011795009242, 0.4250715133325854, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.933333333333333e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
80000,"[0.0, 1.830683862098724, 1.6811299033319143, 1.09120658455177, 0.19814475047866048, 0.7072197379504149, 2.3847583323420025, 2.5354914293993343, 2.2487249590502807, 2.620850649314365, 2.9136454769491333, 1.2728127675947887, 0.5605738823423589, 0.0]","[0.0, 2.7327134674368323, 3.161902104635962, 2.2634864444377523, 0.31199999999999994, 0.9143592740750202, 3.59665763440528, 3.6718284980784723, 3.269315688532102, 3.623474579521025, 3.781898914613789, 1.9027412908856736, 0.937864983842203, 0.0]","[0.0, 0.9020296053381128, 1.4807722013040499, 1.172279859885986, 0.11385524952133946, 0.20713953612460512, 1.2118819687299507, 1.1363370686791394, 1.0205907294818242, 1.0026239302066617, 0.8682187709979898, 0.6299285232908861, 0.37729110149984385, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
90000,"[0.0, 1.7202310484473677, 1.6486417905211372, 1.080340158123703, 0.16937046375240603, 0.7693118320291766, 2.4503563774441557, 2.594920377678149, 2.2210698414737147, 2.6078428405790612, 2.960852121119307, 1.1889599984445665, 0.6383613909920842, 0.0]","[0.0, 2.572698364025267, 3.129321582265873, 2.2986946953972307, 0.2657200000000002, 1.008139962015779, 3.6877353220631686, 3.7565684762704326, 3.2548411198095772, 3.6058513138289388, 3.8356659641872337, 1.7696729036622139, 1.0824180630613547, 0.0]","[0.0, 0.8524673155779016, 1.4806797917447385, 1.2183545372735303, 0.09634953624759408, 0.2388281299866026, 1.2373789446190124, 1.1616480985922861, 1.0337712783358646, 0.99800847324988, 0.8748138430679276, 0.5807129052176484, 0.44405667206927024, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
100000,"[0.0, 1.8364805915044706, 1.5994831635797886, 1.1315371181309388, 0.1605005317231676, 0.762218082490906, 2.6045146268003303, 2.5455219855040925, 2.3086785371941545, 2.6588520134251192, 3.0191937438167167, 1.205499473649014, 0.5855388424617229, 0.0]","[0.0, 2.738555543159949, 3.0020502407148233, 2.313775844440043, 0.2511599999999997, 1.0034263033452095, 3.9228303739895263, 3.6890236795016578, 3.343694754380314, 3.678070225364104, 3.9253175997377214, 1.7814234070784227, 0.9922168997986538, 0.0]","[0.0, 0.9020749516554815, 1.4025670771350367, 1.1822387263091072, 0.09065946827683206, 0.24120822085430352, 1.318281080522531, 1.1435016939975664, 1.035016217186162, 1.0192182119389865, 0.9061238559210066, 0.5759239334294107, 0.40667805733693074, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.466666666666691e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
