,reward,profit,carbon_cost,excess_charge,max_profit
10000,"[7.38687980943666, 8.17558548601739, 1.261097263330279, 1.3132807702307483, 0.4054658176866807, 1.9157496870504573, 9.40193124492387, 5.987111357040488, 6.586038015080536, 5.974594897561859, 6.02436846380241, 0.6179488722002568, 1.2399388137072507, 7.150634102813646]","[9.425570728268923, 10.49819320857192, 1.3438004643229198, 1.6983182198587548, 0.5001513853718191, 2.4588361557428264, 11.697889981948478, 7.834987820208531, 9.03146811602919, 9.037297542024714, 8.847699783129013, 0.9396249972362207, 1.7907097980125228, 9.12527976485616]","[2.038673585498943, 2.3225557225545397, 0.08270320099264147, 0.3850374496280078, 0.09468556768513844, 0.54308646869237, 2.2959240703579464, 1.8478591298347156, 2.4454301009486583, 3.0626506444628534, 2.8233139859932677, 0.3216761250359637, 0.5507709843052734, 1.9746283287091806]","[1.7333333333333332e-05, 5.200000000000024e-05, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 1.7333333333333332e-05, 0.0, 5.2e-05, 1.7333333333333332e-05, 0.0, 0.0, 1.7333333333333332e-05]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
20000,"[7.164915057214341, 8.171965345191628, 1.3665070099140562, 1.1639201153657404, 0.41219198184292505, 2.083150964144597, 9.197371621593103, 5.930935948939348, 6.419602244970422, 5.975219368193995, 6.114574379119892, 0.7092509788333352, 1.2427034639628038, 7.304988546888813]","[9.145165067838398, 10.475793897333997, 1.4576326340115817, 1.5186887153525526, 0.5221250730917579, 2.6539121024763874, 11.484417426412296, 7.7149926270355325, 8.823198407937294, 9.052233394290365, 8.999961323994416, 1.066520000000001, 1.7805044464649449, 9.331041330779858]","[1.9802326772907246, 2.303759218809038, 0.09112562409752584, 0.35476859998681315, 0.10993309124883277, 0.5707611383317914, 2.2868724714858564, 1.7840566780961886, 2.4035961629668754, 3.076944692763038, 2.885352278207858, 0.3572690211666661, 0.5378009825021418, 2.0260354505577083]","[1.7333333333333332e-05, 6.933333333333333e-05, 0.0, 0.0, 0.0, 0.0, 0.00017333333333333355, 0.0, 0.0, 6.933333333333333e-05, 3.466666666666691e-05, 0.0, 0.0, 1.7333333333333332e-05]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
30000,"[7.114509938006736, 8.142603863878687, 1.1978711232115156, 1.2202116318489178, 0.4247175690119168, 1.8700452876101104, 9.183525734669134, 5.927255306444858, 6.585356553151524, 6.035358593712498, 6.0606065703547465, 0.733097749652388, 1.2268684969651207, 7.191481932896533]","[9.099560585056478, 10.465389470603238, 1.264721489652616, 1.592444177270707, 0.5366414654435936, 2.390701505085806, 11.376167984950017, 7.762116816265182, 9.054487751315643, 9.193154960913578, 8.895435148502612, 1.0544297588494387, 1.7578461327247379, 9.151412583592364]","[1.9850333137164076, 2.322698940057889, 0.06685036644110083, 0.37223254542179124, 0.11192389643167672, 0.5206562174756978, 2.192468916947552, 1.8348615098203254, 2.4691311981641237, 3.1577270338677508, 2.834793911481201, 0.3213320091970507, 0.5309776357596171, 1.9598786506958341]","[1.7333333333333332e-05, 8.666666666666691e-05, 0.0, 0.0, 0.0, 0.0, 0.00017333333333333355, 0.0, 0.0, 6.933333333333333e-05, 3.4666666666666665e-05, 0.0, 0.0, 5.2e-05]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
40000,"[7.187921432773975, 7.885271873035476, 1.104916253090831, 1.282024231575366, 0.368412981348534, 1.9518475316422668, 9.139519223044957, 5.815379345809655, 6.458758098460428, 6.09408680953542, 6.043742619404328, 0.74448686474865, 1.2815930707702257, 7.1943483540327]","[9.157151062342571, 10.123205382546413, 1.1788333451102995, 1.6661193367963403, 0.45190762450112965, 2.4836886710625237, 11.339593500155098, 7.6525882762873065, 8.851611979552702, 9.221397995413874, 8.881196520991764, 1.1274708922304946, 1.8483971457245543, 9.180872374089917]","[1.9691776295685912, 2.237881509510928, 0.07391709201946864, 0.3840951052209747, 0.08349464315259564, 0.5318411394202593, 2.200039610443483, 1.8371742638109907, 2.3928538810922726, 3.1272765192117897, 2.83726323492078, 0.38298402748184424, 0.5668040749543302, 1.9864893533905499]","[5.2e-05, 5.2e-05, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 3.4666666666666665e-05, 0.0, 3.466666666666691e-05, 0.00019066666666666714, 0.0, 0.0, 3.4666666666666665e-05]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
50000,"[7.143599054521077, 8.046014856171826, 1.1316725848494453, 1.3177610877971182, 0.4179977252562165, 1.7593868903855165, 9.21506950119561, 6.140834909370443, 6.470663423441124, 5.98908545668487, 6.050564683246162, 0.6750130321261093, 1.3351868387463572, 7.325050350368627]","[9.149392740913061, 10.320768949796472, 1.200596807123405, 1.703931346335817, 0.5326013535049867, 2.271839687653712, 11.42346742516126, 8.018187382373299, 8.888227836797201, 9.055256125496033, 8.91195532265542, 1.0082508321724488, 1.9152626817207405, 9.354609229875214]","[2.005759019725315, 2.274667426957976, 0.06892422227396058, 0.3861702585386998, 0.11460362824877036, 0.5124527972681991, 2.208224590632322, 1.877352473002865, 2.4175644133560725, 3.0661186688111632, 2.861373306075928, 0.3332378000463393, 0.5800758429743847, 2.0295242128399225]","[3.4666666666666665e-05, 8.666666666666691e-05, 0.0, 0.0, 0.0, 0.0, 0.00017333333333333358, 0.0, 0.0, 5.2e-05, 1.7333333333333332e-05, 0.0, 0.0, 3.4666666666666665e-05]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
60000,"[7.086481042165885, 8.218479745720895, 1.2275502862245735, 1.3119624954803109, 0.3351558919521285, 2.0028865363720194, 9.145788822010278, 6.013331434324115, 6.5551144022894805, 5.967076388996758, 6.077224342748227, 0.6808474074271779, 1.294760567428454, 7.030969315964453]","[9.031475548904348, 10.567681263749954, 1.2922342569853817, 1.6897256068110273, 0.40957390075016054, 2.5626344815883946, 11.349069593489219, 7.866255448046007, 9.008887745501273, 9.036674429911955, 8.928199098585697, 1.0196966619049506, 1.857367568265036, 9.006198874074775]","[1.9449425067384583, 2.349132184695724, 0.06468397076080819, 0.37776311133071766, 0.07441800879803201, 0.5597479452163785, 2.203107438145608, 1.8528893470552303, 2.4537733432117936, 3.0695460409152, 2.8509400891707957, 0.3388492544777728, 0.5626070008365841, 1.975177558110318]","[5.2e-05, 6.933333333333382e-05, 0.0, 0.0, 0.0, 0.0, 0.00017333333333333355, 3.4666666666666665e-05, 0.0, 5.200000000000024e-05, 3.466666666666691e-05, 0.0, 0.0, 5.2e-05]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
70000,"[7.096059632315847, 7.992497867123412, 1.2613774512411926, 1.3276556370564867, 0.386257941486273, 1.899161709318637, 9.182454830124707, 5.93019548006747, 6.503808227107643, 6.0199185328980525, 6.089806399375694, 0.6371586438568902, 1.2450622010582912, 7.17180569235735]","[9.110043292410753, 10.268264206619945, 1.335526979918324, 1.71491882721831, 0.48491366825364546, 2.4437459962676624, 11.391453294032429, 7.747203746178682, 8.897662532817696, 9.080086642106012, 8.963156857945695, 0.9495200000000021, 1.8176635776033163, 9.170347121148795]","[2.013931660094903, 2.2756276728298626, 0.0741495286771323, 0.38726319016182426, 0.09865572676737244, 0.5445842869490297, 2.2089811305743856, 1.8169735994445495, 2.3938369723767177, 3.0600987758746268, 2.8733157919033294, 0.3123613561431119, 0.5726013765450277, 1.9985067621247734]","[5.2e-05, 0.00013866666666666715, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 3.4666666666666665e-05, 1.7333333333333332e-05, 6.933333333333333e-05, 3.4666666666666665e-05, 0.0, 0.0, 3.4666666666666665e-05]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
80000,"[7.083747733956327, 8.102516145703902, 1.261050847879192, 1.3300140642615927, 0.4080165512039477, 1.8114674376167328, 9.32680141742483, 5.987932515857791, 6.472730913826262, 6.001184514974121, 6.079737560724711, 0.7599861305526286, 1.281534612644356, 7.208774285991409]","[9.03463766961396, 10.406410795101603, 1.3398959118436509, 1.72341897271719, 0.5080223444760824, 2.3430761195833125, 11.525924828437265, 7.812166029783082, 8.901802455380095, 9.160043676347287, 8.938625722863067, 1.1106573460373417, 1.844960593571779, 9.263355635121025]","[1.9508379356576397, 2.3038773160643733, 0.07884506396445987, 0.39340490845560017, 0.10000579327213474, 0.5316086819665797, 2.198690077679107, 1.824233513925297, 2.42907154155383, 3.1587551613731675, 2.858853495471694, 0.35067121548471303, 0.5634259809274241, 2.0545640157962803]","[5.2e-05, 1.733333333333358e-05, 0.0, 0.0, 0.0, 0.0, 0.00043333333333333353, 0.0, 0.0, 0.00010400000000000001, 3.466666666666691e-05, 0.0, 0.0, 1.7333333333333332e-05]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
90000,"[7.213263520198274, 8.164307775150702, 1.290950928056738, 1.3249822492853334, 0.39175381835098666, 1.974266420638664, 9.207023110190324, 5.994063257824844, 6.475094483223239, 5.931485116472958, 5.958619774350775, 0.7036690570227069, 1.2881450240947634, 6.939864649794568]","[9.196310139516301, 10.497187437926238, 1.3672862595873934, 1.7131733073981612, 0.49920103793571835, 2.478873275857979, 11.44182065112117, 7.855583441760627, 8.899092817612328, 8.98082532615253, 8.78020215976042, 1.0301923373482702, 1.8511777823593853, 8.89480893109462]","[1.9830292859846903, 2.332827662775537, 0.07633533153065512, 0.38819105811283044, 0.10744721958473168, 0.5046068552193176, 2.2347628742641863, 1.8615201839357902, 2.423998334389098, 3.049270876346245, 2.821547718742978, 0.3265232803255632, 0.5630327582646237, 1.9549269479667268]","[1.7333333333333332e-05, 5.200000000000024e-05, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 6.933333333333357e-05, 3.4666666666666665e-05, 0.0, 0.0, 1.7333333333333332e-05]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
100000,"[7.254165833780539, 8.122576691598983, 1.1776618206634903, 1.326977978049685, 0.3860482549132128, 1.8087599299380088, 9.304067260575716, 5.971097306094574, 6.506756787742047, 6.126061998044773, 6.069210352702049, 0.7264829310731313, 1.3182554737654046, 7.123641901477488]","[9.276048675270243, 10.479873994588338, 1.2620956900337315, 1.7236834662219338, 0.47569906219122526, 2.3294186165163766, 11.605178170396242, 7.853724322715076, 8.950390235332241, 9.2909578602709, 8.932973065199864, 1.0864461899237485, 1.8923954811564339, 9.083212523777584]","[2.021848174823043, 2.357227969656023, 0.08443386937024133, 0.39670548817225126, 0.08965080727801245, 0.5206586865783699, 2.301076243153856, 1.8826096832871766, 2.4436161142568595, 3.1648091955594695, 2.8637627124978087, 0.3599632588506172, 0.5741400073910314, 1.9595532889667564]","[3.4666666666666665e-05, 6.933333333333357e-05, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 1.7333333333333332e-05, 1.7333333333333332e-05, 8.666666666666667e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
