,reward,profit,carbon_cost,excess_charge,max_profit
10000,"[0.0, 1.9393030305875485, 1.635490981219072, 1.2206027078221982, 0.1815210837207086, 0.7330957673729298, 2.510683707366381, 2.649833236442008, 2.234536901792193, 2.637175062838368, 3.0316049356032604, 1.250682038845787, 0.5529703619024859, 0.0]","[0.0, 2.8952249316748384, 3.046661492548044, 2.4874790492124315, 0.28600000000000114, 0.9628492733313683, 3.7758610428650945, 3.824012638987207, 3.266261489824973, 3.6555657966996105, 3.931356621543798, 1.8649914738264322, 0.9380531028132326, 0.0]","[0.0, 0.9559219010872922, 1.411170511328973, 1.2668763413902355, 0.10447891627929251, 0.22975350595843871, 1.2651773354987141, 1.174179402545197, 1.031724588032779, 1.0183907338612455, 0.8997170192738696, 0.6143094349806457, 0.3850827409107466, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
20000,"[0.0, 1.837557955216945, 1.7080573646163852, 1.2096377971534367, 0.17251812328521243, 0.7523250670358033, 2.7104400733247735, 2.7124485724884195, 2.2616665929035085, 2.766867886610612, 3.0248649018717724, 1.1858907010237987, 0.6057121045659077, 0.0]","[0.0, 2.743477970904023, 3.1803919281351583, 2.4997033033601634, 0.26312000000000046, 0.9763120938464024, 4.09337493480479, 3.9190273566507763, 3.2900877190868982, 3.8081237124009077, 3.906468616260484, 1.7622055788910347, 0.9973347387729843, 0.0]","[0.0, 0.9059200156870796, 1.4723345635187761, 1.2900655062067286, 0.09060187671478799, 0.22398702681059904, 1.3829001948133504, 1.206578784162355, 1.028421126183391, 1.0412558257902955, 0.881534381055379, 0.5763148778672362, 0.39162263420707655, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 6.933333333333333e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
30000,"[0.0, 1.8768071050509125, 1.6110848149048937, 1.1950639565852716, 0.2063152645034472, 0.7220783078149315, 2.6461856790167486, 2.517789206302826, 2.255327181234348, 2.769853088039752, 2.9654601386320625, 1.2452800289443102, 0.6922107155585427, 0.0]","[0.0, 2.8039156342109726, 3.12584279352653, 2.4655778019444616, 0.323960000000001, 0.9349570747833634, 3.9807927362182918, 3.6798259976621353, 3.296657658275575, 3.8417064260516955, 3.8395026163948223, 1.8436383744905056, 1.1767489033211127, 0.0]","[0.0, 0.92710852916006, 1.514757978621636, 1.270513845359193, 0.1176447354965538, 0.21287876696843175, 1.334607057201544, 1.1620367913593104, 1.0413304770412306, 1.071853338011947, 0.8740424777627612, 0.5983583455461967, 0.48453818776257024, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4632148173016805e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
40000,"[0.0, 1.8897835710293143, 1.6161414908401421, 1.221467368372675, 0.15714332357374125, 0.7939035671519218, 2.7018823624979893, 2.6525169221834846, 2.2409207333809764, 2.727919077912671, 3.139877784190395, 1.2571813116516564, 0.5965113196500885, 0.0]","[0.0, 2.8270163505518586, 3.0748417071749414, 2.505777043412428, 0.24440000000000006, 1.0337246380947778, 4.077597763128271, 3.833564259992561, 3.262911695270374, 3.7617063340324317, 4.061804498933321, 1.8711389358392485, 1.0102757842506758, 0.0]","[0.0, 0.9372327795225437, 1.4587002163348004, 1.2843096750397556, 0.08725667642625881, 0.2398210709428557, 1.3756634006302815, 1.1810473378090747, 1.0219909618893979, 1.033787256119761, 0.9219093814095909, 0.6139576241875933, 0.41376446460058725, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.200000000000024e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
50000,"[0.0, 1.8926262022403546, 1.7017944848490498, 1.209550915702707, 0.18692042901741346, 0.7237118783253449, 2.636815646398183, 2.734707672330064, 2.25484624451607, 2.689610368460852, 3.033171698166068, 1.2241364061190736, 0.6424925642650555, 0.0]","[0.0, 2.8191413697175185, 3.2009107837608566, 2.5212872215211344, 0.29328000000000054, 0.940222727169224, 3.9525831779203338, 3.980909648768005, 3.294685290502386, 3.721061461338892, 3.914837520007662, 1.816359812343546, 1.094321873556379, 0.0]","[0.0, 0.9265151674771641, 1.4991162989118088, 1.3117189724850964, 0.10635957098258707, 0.21651084884387872, 1.3157501981888224, 1.2462019764379415, 1.0398390459863192, 1.03145109287804, 0.8816311551749236, 0.5922234062244744, 0.45182930929132364, 0.0]","[0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
60000,"[0.0, 1.800632179000396, 1.691348223859709, 1.1426266584920033, 0.17831844551384554, 0.7680496130750433, 2.576537628204421, 2.576522356688106, 2.2729643617646857, 2.6775041983738537, 3.1355147554458243, 1.2251068866219794, 0.5664097649317155, 0.0]","[0.0, 2.716530456132349, 3.226997764389815, 2.39015461740266, 0.27664000000000044, 1.0155789752103224, 3.8813307140955846, 3.744528943855341, 3.323343160576054, 3.705386234457124, 4.062319537880279, 1.8190295552019782, 0.9596420047019539, 0.0]","[0.0, 0.9158982771319536, 1.5356495405301072, 1.2475279589106585, 0.0983215544861549, 0.24752936213527904, 1.304741085891166, 1.1680065871672374, 1.050378798811369, 1.0278820360832712, 0.9267874491011213, 0.5939226685800011, 0.3932322397702386, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
70000,"[0.0, 1.9843211644683418, 1.7145339338411016, 1.1759024445918251, 0.242998295711847, 0.7325633366904664, 2.5682435942288215, 2.5892671685173134, 2.1955816240280104, 2.8890438698877383, 2.913402218419064, 1.2335912184092912, 0.5861556197099426, 0.0]","[0.0, 2.953644188819273, 3.2398495933285805, 2.4091712668855334, 0.3811600000000017, 0.954720409433524, 3.8817114263004084, 3.7336401101085777, 3.2171902810468507, 3.994293268907237, 3.7742397221214006, 1.8375143307297717, 0.9943257778320916, 0.0]","[0.0, 0.9693230243509319, 1.5253156594874795, 1.2332688222937107, 0.13816170428815475, 0.22215707274305757, 1.3134678320715862, 1.1443729415912667, 1.0216086570188412, 1.1052493990194987, 0.8608201703690036, 0.6039231123204818, 0.4081701581221488, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
80000,"[0.0, 1.8323558003977365, 1.7027263365995637, 1.155160595418041, 0.18815745233452605, 0.7314587271104532, 2.5437040704171623, 2.5545226138766335, 2.2003094925361952, 2.724548811047395, 3.033784109992235, 1.3196298467494667, 0.6049946300425656, 0.0]","[0.0, 2.7359558416611853, 3.2019735077129834, 2.3805982112811277, 0.30003999999999986, 0.9588846731668953, 3.8200669376525402, 3.6886320212423334, 3.218567182676106, 3.7783209236856465, 3.9356941803475185, 1.9417145880107878, 1.0109688196866664, 0.0]","[0.0, 0.9036000412634512, 1.4992471711134219, 1.2254376158630882, 0.1118825476654738, 0.22742594605644204, 1.2763455339020449, 1.1341094073657034, 1.0182576901399107, 1.053772112638251, 0.9018927370219504, 0.6220847412613217, 0.40597418964410054, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
90000,"[0.0, 1.9282378047488158, 1.581542145461753, 1.1126114855531335, 0.15946313885745908, 0.7609750045481541, 2.710147583579378, 2.6517792571674987, 2.1629845671367756, 2.8210506378847366, 3.0590630983690184, 1.298766454446117, 0.6507184152243625, 0.0]","[0.0, 2.88109348292048, 3.018166977751069, 2.3156216033990233, 0.25064, 1.0125240986552164, 4.08367380889626, 3.830760612008751, 3.1405430472290323, 3.900809813419002, 3.966649405875807, 1.9312809949200938, 1.0658468682677535, 0.0]","[0.0, 0.9528556781716633, 1.4366248322893176, 1.2030101178458912, 0.09117686114254092, 0.2515490941070621, 1.3734742253168866, 1.1789813548412502, 0.9775584800922551, 1.0797591755342657, 0.907534307506788, 0.6325145404739778, 0.4151284530433906, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.200000000000024e-05, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
100000,"[0.0, 1.830986456005697, 1.645553681163935, 1.1476547985696965, 0.21768117830114067, 0.7417941415046929, 2.5893949758974744, 2.628600773023225, 2.187675737106455, 2.6390095498620543, 2.940628202569697, 1.232684180589586, 0.6167984969384106, 0.0]","[0.0, 2.7143668804902683, 3.0989763771034613, 2.378030628178467, 0.3348800000000006, 0.9687846184726527, 3.8876649072547, 3.819878392361896, 3.2163734852393078, 3.656462346663429, 3.813512424115668, 1.8367193511206614, 1.0334600067193418, 0.0]","[0.0, 0.8833804244845717, 1.4534226959395287, 1.2303758296087728, 0.11719882169885991, 0.22699047696795954, 1.298252598023891, 1.191277619338671, 1.0286977481328514, 1.0174527968013758, 0.8728495548793068, 0.6040351705310771, 0.41666150978093114, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
