Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SOUTH PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),EAST PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),NORTH PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),WEST PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),CORE LIGHTS 1:Lights Electricity Rate [W](Hourly),PLENUM:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),PLENUM:Zone Air Temperature [C](Hourly),SOUTH PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),SOUTH PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),SOUTH PERIMETER:Zone Air Temperature [C](Hourly),EAST PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),EAST PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),EAST PERIMETER:Zone Air Temperature [C](Hourly),NORTH PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),NORTH PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),NORTH PERIMETER:Zone Air Temperature [C](Hourly),WEST PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),WEST PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),WEST PERIMETER:Zone Air Temperature [C](Hourly),CORE:Zone Air System Sensible Heating Rate [W](Hourly),CORE:Zone Air System Sensible Cooling Rate [W](Hourly),CORE:Zone Air Temperature [C](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),SOUTH ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),EAST ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),WEST ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),CORE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),NORTH ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),SOUTH ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),EAST ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),WEST ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),CORE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),NORTH ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly) 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.392212073826569,0.0,0.0,18.244898585983227,0.0,0.0,18.587100757246735,0.0,0.0,18.47719681750088,0.0,0.0,19.11476084271435,0.0,0.0,19.59438163085797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.170860186070588,0.0,0.0,18.047662354370737,0.0,0.0,18.398813067261295,0.0,0.0,18.295040314335816,0.0,0.0,18.9286323707116,0.0,0.0,19.517640934970467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.901795020494795,0.0,0.0,17.932423824581528,0.0,0.0,18.28003188945717,0.0,0.0,18.189437777544108,0.0,0.0,18.813146081868845,0.0,0.0,19.48251530853089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.636056026826595,0.0,0.0,17.80410167039725,0.0,0.0,18.148745978107195,0.0,0.0,18.067177529938986,0.0,0.0,18.68420351802674,0.0,0.0,19.40660515266189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.38590325964681,0.0,0.0,17.710636846375289,0.0,0.0,18.05185506096329,0.0,0.0,17.977828968861908,0.0,0.0,18.589854187202513,0.0,0.0,19.34187598706331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.158660160135364,0.0,0.0,17.635811707782659,0.0,0.0,17.97402866696965,0.0,0.0,17.90616593320352,0.0,0.0,18.51439800174462,0.0,0.0,19.286531813539097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.952767464441303,0.0,0.0,17.54900731223877,0.0,0.0,17.886324203515409,0.0,0.0,17.821178882919605,0.0,0.0,18.42834667412519,0.0,0.0,19.20907621865906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  08:00:00,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.771212752168323,3768.357992061565,0.0,20.339191840503078,1779.6858226213536,0.0,20.75307814804984,3700.6116243253188,0.0,20.563832441461498,1834.0879225480795,0.0,21.30917164370261,3787.4856438128247,0.0,20.985813618683545,20544.228711101852,3967.099604700191,2370.18102669849,3108.752286764323,5375.671916581384,4618.992902217196,0.0,0.0,0.0,0.0,0.0 
 01/01  09:00:00,-8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.850694606649985,2381.100293265741,0.0,21.920525032765704,898.7675392273586,0.0,21.911741145529626,3110.070277056789,0.0,21.894809310608,1118.7937447097814,0.0,21.940343472748059,3149.084051938666,0.0,21.920882170814214,16156.137216454787,2563.640711746107,1453.1850557572535,2296.8514177053787,4721.673030704764,4017.256026401014,0.0,0.0,0.0,0.0,0.0 
 01/01  10:00:00,-6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.082847059416992,396.20760659285409,0.0,21.99988098283877,360.9435983436606,0.0,21.99947735122295,2247.645359377467,0.0,21.999971157042304,868.5832169554915,0.0,21.999329626918386,2465.3915909304116,0.0,21.99999721739896,11146.054486379071,424.18012857973687,806.1326848850987,1912.1449649968022,3879.9615660092515,3020.1041677679129,0.0,0.0,0.0,0.0,0.0 
