SiteID,0,Site Timezone,-9,Data Timezone,0,Longitude,-128.77481,Latitude,39.970406
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s)
2019,1,1,0,0,13.97
2019,1,1,0,15,14.01
2019,1,1,0,30,14.120000000000001
2019,1,1,0,45,14.25
2019,1,1,1,0,14
2019,1,1,1,15,14.200000000000001
2019,1,1,1,30,13.86
2019,1,1,1,45,14.22
2019,1,1,2,0,14.280000000000001
2019,1,1,2,15,13.99
2019,1,1,2,30,14.120000000000001
2019,1,1,2,45,13.84
2019,1,1,3,0,14.030000000000001
2019,1,1,3,15,13.91
2019,1,1,3,30,14.040000000000001
2019,1,1,3,45,13.98
2019,1,1,4,0,14.01
2019,1,1,4,15,13.96
2019,1,1,4,30,13.82
2019,1,1,4,45,13.81
2019,1,1,5,0,13.63
2019,1,1,5,15,13.51
2019,1,1,5,30,13.42
2019,1,1,5,45,13.24
2019,1,1,6,0,13.18
2019,1,1,6,15,13.08
2019,1,1,6,30,13.06
2019,1,1,6,45,13.01
2019,1,1,7,0,12.92
2019,1,1,7,15,12.83
2019,1,1,7,30,12.82
2019,1,1,7,45,12.84
2019,1,1,8,0,12.780000000000001
2019,1,1,8,15,12.73
2019,1,1,8,30,12.64
2019,1,1,8,45,12.52
2019,1,1,9,0,12.47
2019,1,1,9,15,12.43
2019,1,1,9,30,12.36
2019,1,1,9,45,12.290000000000001
2019,1,1,10,0,12.25
2019,1,1,10,15,12.26
2019,1,1,10,30,12.24
2019,1,1,10,45,12.19
2019,1,1,11,0,12.1
2019,1,1,11,15,12.09
2019,1,1,11,30,12.09
2019,1,1,11,45,12.02
2019,1,1,12,0,11.91
2019,1,1,12,15,11.86
2019,1,1,12,30,11.81
2019,1,1,12,45,11.67
2019,1,1,13,0,11.61
2019,1,1,13,15,11.48
2019,1,1,13,30,11.27
2019,1,1,13,45,11.32
2019,1,1,14,0,11.41
2019,1,1,14,15,11.59
2019,1,1,14,30,11.6
2019,1,1,14,45,11.44
2019,1,1,15,0,11.18
2019,1,1,15,15,10.950000000000001
2019,1,1,15,30,10.83
2019,1,1,15,45,10.790000000000001
2019,1,1,16,0,10.700000000000001
2019,1,1,16,15,10.61
2019,1,1,16,30,10.43
