Henry Hub Natural Gas Spot Price
https://www.eia.gov/dnav/ng/hist/rngwhhdD.htm
23:58:26 GMT-0500 (Eastern Standard Time)
Data Source: Thomson Reuters
Day,Henry Hub Natural Gas Spot Price Dollars per Million Btu
12/13/2022,7.2
12/12/2022,6.73
12/9/2022,4.98
12/8/2022,4.79
12/7/2022,4.49
12/6/2022,4.58
12/5/2022,4.15
12/2/2022,4.92
12/1/2022,6.33
11/30/2022,7
11/29/2022,6.03
11/28/2022,6
11/25/2022,6.57
11/23/2022,6.57
11/22/2022,6.27
11/21/2022,6.23
11/18/2022,6.1
11/17/2022,6.2
11/16/2022,5.88
11/15/2022,5.9
11/14/2022,6.24
11/11/2022,4.8
11/10/2022,4.8
11/9/2022,3.46
11/8/2022,4
11/7/2022,4.62
11/4/2022,4
11/3/2022,4.65
11/2/2022,4.58
11/1/2022,4.57
10/31/2022,5.02
10/28/2022,5.02
10/27/2022,5.3
10/26/2022,5.28
10/25/2022,5.17
10/24/2022,4.81
10/21/2022,4.45
10/20/2022,5.1
10/19/2022,5.63
10/18/2022,6.16
10/17/2022,6.08
10/14/2022,6.1
10/13/2022,6.25
10/12/2022,6.6
10/11/2022,6.2
10/7/2022,6.25
10/6/2022,6.91
10/5/2022,5.84
10/4/2022,5.4
10/3/2022,5.64
09/30/2022,6.4
09/29/2022,6.57
09/28/2022,6.59
09/27/2022,6.83
09/26/2022,6.75
09/23/2022,6.75
09/22/2022,7.76
09/21/2022,7.99
09/20/2022,8.01
09/19/2022,7.96
09/16/2022,8.11
09/15/2022,8.6
09/14/2022,8.7
09/13/2022,8.49
09/12/2022,8.2
09/9/2022,8.31
09/8/2022,8.27
09/7/2022,8.12
09/6/2022,8.52
09/2/2022,9.18
09/1/2022,9.38
08/31/2022,8.93
08/30/2022,9.1
08/29/2022,9.24
08/26/2022,9.48
08/25/2022,9.47
08/24/2022,9.27
08/23/2022,9.75
08/22/2022,9.85
08/19/2022,9.14
08/18/2022,9.42
08/17/2022,9.51
08/16/2022,9.28
08/15/2022,8.62
08/12/2022,8.73
08/11/2022,8.53
08/10/2022,7.86
08/9/2022,7.87
08/8/2022,7.76
08/5/2022,8.3
08/4/2022,8.4
08/3/2022,7.81
08/2/2022,8.01
08/1/2022,8.2
07/29/2022,8.33
07/28/2022,8.75
07/27/2022,8.65
07/26/2022,9.46
07/25/2022,8.52
07/22/2022,8.25
07/21/2022,7.99
07/20/2022,7.58
07/19/2022,7.35
07/18/2022,7.65
07/15/2022,6.6
07/14/2022,6.9
07/13/2022,6.68
07/12/2022,6.81
07/11/2022,6.82
07/8/2022,6.4
07/7/2022,5.83
07/6/2022,5.65
07/5/2022,5.72
07/1/2022,5.75
06/30/2022,6.54
06/29/2022,6.69
06/28/2022,6.66
06/27/2022,6.09
06/24/2022,5.8
06/23/2022,6.54
06/22/2022,6.76
06/21/2022,6.6
06/17/2022,7.37
06/16/2022,7.88
06/15/2022,7.72
06/14/2022,7.68
06/13/2022,9
06/10/2022,8.78
06/9/2022,8.16
06/8/2022,9.43
06/7/2022,9.28
06/6/2022,9.08
06/3/2022,8.34
06/2/2022,8.9
06/1/2022,8.47
05/31/2022,8.46
05/27/2022,8.3
05/26/2022,9.19
05/25/2022,9.44
05/24/2022,8.87
05/23/2022,8.16
05/20/2022,7.97
05/19/2022,8.21
05/18/2022,8.53
05/17/2022,8.26
05/16/2022,8.07
05/13/2022,7.75
05/12/2022,7.25
05/11/2022,7.53
05/10/2022,6.78
05/9/2022,8.06
05/6/2022,8.35
05/5/2022,8.42
05/4/2022,8.3
05/3/2022,7.84
05/2/2022,7.3
04/29/2022,6.84
04/28/2022,6.97
04/27/2022,6.91
04/26/2022,6.89
04/25/2022,6.42
04/22/2022,6.59
04/21/2022,6.88
04/20/2022,7.12
04/19/2022,7.44
04/18/2022,7.48
04/14/2022,6.94
04/13/2022,6.68
04/12/2022,6.59
04/11/2022,6.35
04/8/2022,6.38
04/7/2022,6.05
04/6/2022,6.29
04/5/2022,5.95
04/4/2022,5.72
04/1/2022,5.43
03/31/2022,5.46
03/30/2022,5.32
03/29/2022,5.32
03/28/2022,5.52
03/25/2022,5.51
03/24/2022,5.19
03/23/2022,5.26
03/22/2022,5
03/21/2022,4.77
03/18/2022,4.87
03/17/2022,4.8
03/16/2022,4.68
03/15/2022,4.46
03/14/2022,4.59
03/11/2022,4.79
03/10/2022,4.65
03/9/2022,4.55
03/8/2022,4.61
03/7/2022,4.93
03/4/2022,4.74
03/3/2022,4.63
03/2/2022,4.65
03/1/2022,4.36
02/28/2022,4.46
02/25/2022,4.63
02/24/2022,4.78
02/23/2022,4.59
02/22/2022,4.48
02/18/2022,4.61
02/17/2022,4.57
02/16/2022,4.39
02/15/2022,4.31
02/14/2022,4.05
02/11/2022,4.04
02/10/2022,4.03
02/9/2022,4.13
02/8/2022,4.3
02/7/2022,4.44
02/4/2022,5.34
02/3/2022,5.84
02/2/2022,6.7
02/1/2022,5.45
01/31/2022,5.56
01/28/2022,5.69
01/27/2022,4.43
01/26/2022,4.43
01/25/2022,4.24
01/24/2022,4.2
01/21/2022,4.11
01/20/2022,4.45
01/19/2022,4.89
01/18/2022,4.55
01/14/2022,4.37
01/13/2022,4.78
01/12/2022,4.62
01/11/2022,4.16
01/10/2022,4.16
01/7/2022,3.83
01/6/2022,3.94
01/5/2022,3.78
01/4/2022,3.73
01/3/2022,3.74
12/31/2021,3.82
12/30/2021,3.82
12/29/2021,3.4
12/28/2021,3.32
12/27/2021,3.45
12/23/2021,3.56
12/22/2021,3.95
12/21/2021,3.96
12/20/2021,3.91
12/17/2021,3.71
12/16/2021,3.67
12/15/2021,3.79
12/14/2021,3.71
12/13/2021,4.05
12/10/2021,3.65
12/9/2021,3.67
12/8/2021,3.79
12/7/2021,3.6
12/6/2021,3.66
12/3/2021,3.79
12/2/2021,4.08
12/1/2021,4.31
11/30/2021,4.52
11/29/2021,4.9
11/24/2021,4.93
11/23/2021,4.95
11/22/2021,4.83
11/19/2021,4.9
11/18/2021,4.95
11/17/2021,4.82
11/16/2021,5.11
11/15/2021,4.77
11/12/2021,4.97
11/11/2021,4.81
11/10/2021,4.56
11/9/2021,5.08
11/8/2021,5.53
11/5/2021,5.51
11/4/2021,5.73
11/3/2021,5.59
11/2/2021,5.33
11/1/2021,5.22
10/29/2021,5.49
10/28/2021,5.68
10/27/2021,5.91
10/26/2021,5.59
10/25/2021,5.72
10/22/2021,5.1
10/21/2021,4.94
10/20/2021,4.87
10/19/2021,4.81
10/18/2021,5.01
10/15/2021,5.44
10/14/2021,5.92
10/13/2021,5.56
10/12/2021,5.34
10/11/2021,5.46
10/8/2021,5.46
10/7/2021,5.71
10/6/2021,6
10/5/2021,6.37
10/4/2021,5.8
10/1/2021,5.61
09/30/2021,5.58
09/29/2021,5.73
09/28/2021,5.94
09/27/2021,5.53
09/24/2021,5.1
09/23/2021,4.94
09/22/2021,4.92
09/21/2021,4.96
09/20/2021,5.25
09/17/2021,5.32
09/16/2021,5.52
09/15/2021,5.66
09/14/2021,5.39
09/13/2021,5.21
09/10/2021,5.13
09/9/2021,4.97
09/8/2021,4.66
09/7/2021,4.71
09/3/2021,4.77
09/2/2021,4.65
09/1/2021,4.45
08/31/2021,4.33
08/30/2021,4.25
08/27/2021,4.35
08/26/2021,4.07
08/25/2021,4.03
08/24/2021,3.95
08/23/2021,3.93
08/20/2021,3.94
08/19/2021,3.83
08/18/2021,3.86
08/17/2021,3.92
08/16/2021,3.93
08/13/2021,3.95
08/12/2021,4.1
08/11/2021,4.07
08/10/2021,4.12
08/9/2021,4.24
08/6/2021,4.21
08/5/2021,4.27
08/4/2021,4.2
08/3/2021,4.06
08/2/2021,4.02
07/30/2021,3.94
07/29/2021,4.03
07/28/2021,4.1
07/27/2021,4.15
07/26/2021,4.09
07/23/2021,4.11
07/22/2021,4.02
07/21/2021,3.94
07/20/2021,3.82
07/19/2021,3.75
07/16/2021,3.7
07/15/2021,3.68
07/14/2021,3.8
07/13/2021,3.78
07/12/2021,3.7
07/9/2021,3.71
07/8/2021,3.56
07/7/2021,3.66
07/6/2021,3.68
07/2/2021,3.67
07/1/2021,3.76
06/30/2021,3.79
06/29/2021,3.75
06/28/2021,3.62
06/25/2021,3.4
06/24/2021,3.3
06/23/2021,3.36
06/22/2021,3.21
06/21/2021,3.15
06/18/2021,3.23
06/17/2021,3.24
06/16/2021,3.25
06/15/2021,3.31
