time,task_id,duration,cpu,priority
346317773949,379337503950-62,64447791,0.002995,105
346317774863,379337503950-519,64286309,0.002995,105
346317792123,379337433477-25,289225179,0.020172,103
346371324652,379342576539-16,147486614,0.001497,105
346430940932,379342628141-453,759879524,0.006516,105
346439347913,379342617111-104,95832596,0.005196,200
346493596399,379346731332-391,375503298,0.002201,101
346518254980,379346730347-0,14259515394,0.000441,200
346519069211,379346865949-455,916074250,0.040527,0
346580830722,379356970706-130,2096683201,0.003258,119
346580831102,379356970706-320,2085496450,0.003258,119
346611040892,379346673556-114,27691787,0.005196,200
346618447999,379361025235-14,210310205,0.002819,200
346621624084,379357013581-315,114237059,0.003521,107
346621625182,379353958829-472,14931715866,0.020172,105
346621638505,379358014431-644,63737644,0.003876,105
346684600421,379369131675-695,667542032,0.004227,105
346686204511,379361025269-242,67608158,0.004051,105
346686204581,379369128847-2,75793350,0.003788,105
346695153765,379369128847-724,124766245,0.003788,105
346695157205,379337183139-17,203342976,0.002026,103
346702242979,379362062161-23,286545306,0.012589,103
346702251282,379362066513-86,292307290,0.012146,103
346738804694,379369147675-187,449226102,0.006958,105
346745882897,379369172061-1414,97591994,0.003788,105
346778205547,379369095385-120,54249070,0.005196,200
346803404909,379371294151-1184,220647739,0.003609,105
346870084954,379371317045-1058,2842476465,0.008636,105
346870085126,379371317045-1165,2802641096,0.008636,105
346870088076,379371353367-1210,7010840195,0.016205,105
346873544966,379371292383-21,76943603,0.005196,200
346882753692,379371317045-1370,3060022681,0.008636,105
346882757023,379371353367-2627,6998191554,0.016205,105
346882791000,379371353367-5026,6998191969,0.016205,105
346892048351,379371353367-4840,6988931945,0.016205,105
346926917093,379371574236-477,83405036,0.003082,105
346926919679,379371574236-2034,151567151,0.003082,105
346926925487,379371574236-1675,180708754,0.003082,105
346932111127,379336925621-32,360118341,0.004845,107
346950260135,379337486816-1421,22081890469,0.004845,103
347014677108,379372740124-0,90625516,0.030029,200
347048202376,379371679646-31,216689825,0.004494,105
347048203610,379371679646-365,206485587,0.004494,105
347171983580,379373852238-3,14504299,0.004402,105
347248849023,379293046427-768,9751322647,0.013565,105
347353991371,379375063391-126,530675589,0.006340,116
347414492045,379375195385-829,79160846,0.003521,105
347414492613,379375195385-1169,79934888,0.003521,105
347477302296,379376355450-787,59655255,0.002026,105
347501695111,379374937480-150,396570553,0.018127,119
347512811460,379373870268-48,320587276,0.002026,103
347663538147,379376535772-775,1191743902,0.004051,105
347663540619,379376540070-517,87445003,0.005020,105
347724654088,379376620644-996,597088913,0.006165,105
347724655300,379376620644-1979,471144219,0.006165,105
347724680359,379376721329-967,71074470,0.003170,105
347753761465,379376480025-119,44462767,0.005196,200
347782555345,379376733912-956,65248622,0.003960,105
347844592047,379377811336-334,83479655,0.003082,105
347911620298,379378890769-72,627482141,0.007660,105
347911622754,379378890769-1527,687823541,0.007660,105
347920615921,379378974648-9,453587269,0.002731,103
348028876653,379380082516-104,92339332,0.005196,200
348034660340,379380134703-88,151461292,0.004051,105
348034662006,379380161431-240,382873140,0.006248,105
348042259752,379380162989-439,174939672,0.003521,105
348042260583,379380162989-1177,68374664,0.003521,105
348042261063,379380169316-710,175265636,0.004753,105
348080971466,379377788321-41,283738164,0.002201,103
348154578778,379380310580-125,108175969,0.002995,105
348154579082,379380310580-280,173688520,0.002995,105
348154588676,379380310580-1927,171638807,0.002995,105
348160337116,379380427704-48,319694494,0.007660,0
348359595550,379380288925-550,31783279,0.005196,200
348370518960,379380815954-180,7063857713,0.002026,200
348456308304,379380887191-110,303249120,0.006248,105
348460841720,379376779742-139,592867647,0.006958,103
348520655328,379380901206-308,77965452,0.003082,105
348520662908,379380901206-1479,58851220,0.003082,105
348582670075,379380949334-36,98104241,0.002907,105
348582670833,379380949334-441,79582042,0.002907,105
