time,task_id,duration,cpu
1021995135884,195-0,1021994698214,0.033630
2656292545927,11688827750-876,2655421825831,0.070435
2389347616620,11688827750-878,2389277822897,0.070435
2483083404607,786858-148,2482747194288,0.001406
2599766980715,6642611630-6,2569442279762,0.003521
2524199012364,11688827750-880,2524120720289,0.070435
2521780051165,11688827750-881,2521196055891,0.070435
2410752094802,786858-144,2410623311548,0.001406
2562089173101,786858-143,2562011778218,0.001406
2336920163366,786858-141,2336620379347,0.004051
1978885858942,786858-140,1977867424369,0.001406
2630674503428,11688827750-884,2630033779206,0.070435
1298337486923,11688827750-890,1298034765352,0.070435
400039045900,11688827750-891,399972568606,0.070435
2248752430875,11688827750-893,2248404661535,0.070435
2327193201998,11688827750-874,2327167702887,0.070435
2533986311025,11688827750-896,2533638418634,0.070435
2599564625970,6642611630-5,2597114628789,0.003521
879390211926,11688827750-899,879366722861,0.070435
1620431295084,11688827750-901,1620422964628,0.070435
2167387608435,11688827750-902,2167353128891,0.070435
1464261693745,11688827750-904,1464250753889,0.070435
2248552040452,11688827750-905,2248454519489,0.070435
2135588051975,11688827750-906,2134945542192,0.070435
2059982351152,11688827750-908,2059936768330,0.070435
2221889379647,11688827750-909,2221597570521,0.070435
2410656694336,4422663195-844,2410486138472,0.029053
2397370723142,11688827750-910,2397203225230,0.070435
2660439848681,6642611630-4,2655947632123,0.003521
2397638188194,11688827750-911,2397430464754,0.070435
2445731324311,786858-139,2445457310315,0.008499
2321635160325,11688827750-898,2321336934248,0.070435
2627454623650,11688827750-873,2627235100007,0.070435
2232029169625,11688827750-872,2232026690070,0.070435
1007333499443,11688827750-870,1007170211881,0.070435
2401239878016,11688827750-832,2391652108040,0.070435
2617239913003,6642611630-9,2613295313954,0.003521
2218069704865,11688827750-838,2217921685848,0.070435
2433876205905,11688827750-839,2433366275459,0.070435
1377778813980,11688827750-840,1377778354530,0.070435
1965839454653,11688827750-841,1965829359637,0.070435
1127092395324,11688827750-842,1127053497035,0.070435
933982688828,11688827750-844,933982343859,0.070435
2500333923100,786858-152,2500311430674,0.142578
2399950109835,11688827750-845,2399572137530,0.070435
2248431436547,11688827750-846,2248430677318,0.070435
1466417554076,11688827750-847,1466395675334,0.070435
2054693012709,11688827750-848,2054444384735,0.070435
2238639745620,11688827750-849,2238556414726,0.070435
2133336975035,11688827750-852,2132840430049,0.070435
2253906140212,11688827750-853,2253314375606,0.070435
2382893714967,11688827750-868,2382621583242,0.070435
830542533521,11688827750-867,830479565422,0.070435
2324515090616,11688827750-866,2324514382909,0.070435
2601718816235,11688827750-865,2601664505012,0.070435
1964553385396,786858-149,1963891876440,nan
2490387235779,786858-150,2489921520959,0.001406
948713436435,11688827750-912,948693524864,0.070435
1196660702694,11688827750-862,1196651745910,0.070435
2258969885176,11688827750-860,2258903652838,0.070435
1351822777990,11688827750-859,1351699258235,0.070435
2386481536556,11688827750-858,2386351421129,0.070435
2585415981292,11688827750-857,2585289877614,0.070435
2602657937900,11688827750-855,2602341887977,0.070435
2595020379505,11688827750-854,2595019965790,0.070435
2599817035518,6642611630-7,2593888346289,0.003521
2419686950716,4422663195-842,2419239332259,0.029053
1632199361222,786858-136,1631900569970,0.001406
2406552275130,786858-132,2406531702725,0.001490
766955354556,786858-106,766767326397,0.001406
2428598296889,11688827750-979,2428222873604,0.070435
2508108193490,11688827750-980,2507655324392,0.070435
2387508260926,11688827750-981,2387499573748,0.070435
1796439889127,11688827750-983,1790220548308,0.070435
2497579145461,11688827750-984,2497578181119,0.070435
1009626520569,11688827750-987,1009330846766,0.070435
1005478804658,11688827750-988,1005425884536,0.070435
2638839843317,6642611597-9,2611501004305,0.003521
2407025353108,786858-105,2406425141995,0.000000
2308316234753,11688827750-993,2308167049293,0.070435
2248186375700,11688827750-994,2248134052609,0.070435
2487639851440,6642611597-8,2464187779166,0.003521
1777216439601,11688827750-996,566946320405,0.070435
850296463866,11688827750-978,850231715474,0.070435
0,12176267130-100,0,0.000000
0,12176267130-108,0,0.000000
0,12176267130-109,0,0.000000
0,12176267130-111,0,0.000000
1234839884986,6642611597-7,1206941477954,0.003521
0,12176267130-114,0,0.000000
0,12176267130-119,0,0.000000
0,12176267134-100,0,0.000000
0,12176267134-103,0,0.000000
2373153144205,6642611597-6,2300164969423,0.003521
0,12176267134-104,0,0.000000
0,12176267134-106,0,0.000000
0,12176267134-108,0,0.000000
0,12176267134-110,0,0.000000
0,12176267134-111,0,0.000000
0,12176267130-106,0,0.000000
2337626146597,11688827750-977,2337574856857,0.070435
2406855749129,786858-110,2406280709018,0.022614
2485073922442,11688827750-975,2484905686917,0.070435
2406466635145,786858-129,2406337335626,0.001406
2495344981163,11688827750-915,2495275408814,0.070435
953324384165,11688827750-917,953324152744,0.070435
2489774963376,11688827750-918,2489746058998,0.070435
1005610253905,11688827750-919,1005337919909,0.070435
2123453252775,11688827750-924,2123382381327,0.070435
1979473310251,11688827750-928,1979467540404,0.070435
2041927254749,11688827750-932,2041697455180,0.070435
2413505835529,11688827750-933,2413484034172,0.070435
2246784746720,11688827750-937,2246482600158,0.070435
2135937922277,11688827750-939,2135928990072,0.070435
2317622410726,11688827750-940,2316939393723,0.070435
2406552275158,786858-122,2406551042715,0.001406
884220617550,11688827750-941,884177383898,0.070435
973536638187,11688827750-943,973520949027,0.070435
734720236704,11688827750-946,734593524363,0.070435
2525399124320,786858-120,2524809508310,0.032410
2431356588157,11688827750-974,2431344108999,0.070435
2563014535488,11688827750-973,2562863862032,0.070435
2600780531892,11688827750-968,2600708951988,0.070435
1161883174519,11688827750-967,1161690063762,0.070435
2415849475881,11688827750-965,2415848696159,0.070435
2407060661926,786858-113,2406514325250,0.011292
1347390704204,11688827750-913,1347368026899,0.070435
2382779557925,11688827750-963,2382615812633,0.070435
2307597146668,786858-119,2307030489026,0.005371
437479816207,11688827750-959,437479295225,0.070435
2514018535836,11688827750-956,2513709120818,0.070435
2391267644043,11688827750-951,2378128180167,0.070435
2599385222617,6642611630-2,2581900017276,0.003521
2664522917994,11688827750-949,2663924945727,0.070435
2410884718816,4422663195-846,2410562513800,0.029053
2402215480171,11688827750-830,2402059922375,0.070435
2534022063695,11688827750-829,2533887491870,0.070435
2500353024343,11688827750-690,2500286581875,0.070435
2548594281574,11688827750-693,2548452729898,0.070435
2503281999360,11688827750-694,2503216934180,0.070435
2238028752998,11688827750-699,2237942675832,0.070435
2419136852608,11688827750-702,2418361097816,0.070435
2389347616629,11688827750-703,2389059418549,0.070435
2623092286648,11688827750-706,2622475078448,0.070435
2277931413478,11688827750-707,2277615755960,0.070435
2476905972225,11688827750-709,2476717586007,0.070435
2285141699520,786858-186,2285022449805,0.002640
2411019846918,11688827750-713,2410652984864,0.070435
1523687206158,11688827750-715,1523666233257,0.070435
2507365322413,786858-184,2507358441472,0.001406
2415624625595,11688827750-716,2415556734538,0.070435
2489990767667,11688827750-687,2489756833854,0.070435
2613237158339,11688827750-717,2612976280199,0.070435
499898270618,11688827750-721,499898006314,0.070435
2415647311417,11688827750-723,2415519312023,0.070435
2548970073236,11688827750-724,2548945472182,0.070435
1960391268302,11688827750-725,1960381918733,0.070435
2420108808226,11688827750-726,2419697750870,0.070435
2439323811774,786858-181,2439302419674,0.001406
2049954812078,786858-179,2049383910610,0.005989
2418118569253,11688827750-727,2417774723516,0.070435
2661721901009,11688827750-728,2661096288503,0.070435
2331999360951,11688827750-729,2331631136116,0.070435
2300512901824,11688827750-731,2300357098314,0.070435
1372197645888,786858-177,1372177784435,0.022308
2410653312048,4422663195-838,2410553936715,0.029053
