Year,Month,Day,Period,1,2,3
2020,1,7,1,921.5724201,1117.164179,1245.250079
2020,1,7,2,923.5180339,1112.238806,1234.491979
2020,1,7,3,923.8423029,1108.656716,1224.630387
2020,1,7,4,925.1393788,1101.492537,1212.07927
2020,1,7,5,922.545227,1096.119403,1203.114187
2020,1,7,6,925.4636477,1091.641791,1196.390374
2020,1,7,7,924.4908408,1087.164179,1185.632274
2020,1,7,8,921.2481511,1083.58209,1178.011953
2020,1,7,9,923.5180339,1078.208955,1168.598616
2020,1,7,10,921.896689,1077.761194,1165.460837
2020,1,7,11,922.545227,1075.522388,1158.28877
2020,1,7,12,926.1121857,1075.522388,1157.840516
2020,1,7,13,921.2481511,1076.865672,1175.770683
2020,1,7,14,918.3297303,1077.761194,1167.253853
2020,1,7,15,921.2481511,1080.0,1160.530041
2020,1,7,16,920.2753442,1082.686567,1156.047499
2020,1,7,17,921.2481511,1083.58209,1151.116703
2020,1,7,18,920.9238821,1082.686567,1151.116703
2020,1,7,19,918.9782683,1084.925373,1147.978924
2020,1,7,20,919.9510752,1084.925373,1145.737653
2020,1,7,21,920.5996132,1084.477612,1140.358603
2020,1,7,22,921.5724201,1084.925373,1136.77257
2020,1,7,23,919.3025373,1084.925373,1134.979553
2020,1,7,24,923.1937649,1084.029851,1128.703995
2020,1,7,25,926.7607236,1082.686567,1139.462095
2020,1,7,26,928.0577995,1084.029851,1134.979553
2020,1,7,27,930.0034134,1081.791045,1129.600503
2020,1,7,28,929.6791444,1080.895522,1125.117962
2020,1,7,29,932.2732962,1081.343284,1119.738912
2020,1,7,30,933.2461031,1080.447761,1119.290657
2020,1,7,31,935.8402549,1078.656716,1117.497641
2020,1,7,32,939.4072136,1077.761194,1122.428437
2020,1,7,33,938.7586756,1077.761194,1116.601132
2020,1,7,34,942.3256343,1076.865672,1113.463353
2020,1,7,35,945.2440551,1079.104478,1114.808116
2020,1,7,36,949.1352827,1084.029851,1110.773828
2020,1,7,37,950.1080897,1083.58209,1116.152878
2020,1,7,38,953.9993173,1084.925373,1118.394149
2020,1,7,39,954.6478553,1084.925373,1114.808116
2020,1,7,40,957.566276,1084.925373,1117.945895
2020,1,7,41,963.4031175,1084.029851,1116.601132
2020,1,7,42,968.5914211,1084.925373,1116.152878
2020,1,7,43,975.4010695,1085.820896,1120.63542
2020,1,7,44,979.6165662,1087.164179,1119.290657
2020,1,7,45,984.1563318,1088.955224,1122.428437
2020,1,7,46,993.884401,1090.298507,1118.394149
2020,1,7,47,1001.991125,1092.089552,1121.531928
2020,1,7,48,1013.340539,1094.328358,1123.773199
2020,1,7,49,1025.987029,1098.80597,1114.808116
2020,1,7,50,1038.30925,1099.701493,1117.497641
2020,1,7,51,1047.71305,1103.731343,1124.669707
2020,1,7,52,1057.116851,1106.865672,1121.083674
2020,1,7,53,1068.141996,1109.552239,1125.566216
2020,1,7,54,1074.303106,1113.134328,1127.807487
2020,1,7,55,1085.003982,1115.820896,1131.841774
2020,1,7,56,1101.5417,1119.850746,1133.186537
2020,1,7,57,1109.972693,1123.880597,1136.77257
2020,1,7,58,1121.970645,1129.253731,1142.15162
2020,1,7,59,1136.887018,1134.179104,1143.048128
2020,1,7,60,1152.776198,1140.0,1152.90972
2020,1,7,61,1176.123564,1147.61194,1130.048757
2020,1,7,62,1194.931164,1156.567164,1138.117332
2020,1,7,63,1215.360109,1161.492537,1151.564958
2020,1,7,64,1228.006599,1168.208955,1161.874803
2020,1,7,65,1232.870634,1175.373134,1169.04687
2020,1,7,66,1240.653089,1182.985075,1183.839258
2020,1,7,67,1249.408351,1192.835821,1193.700849
2020,1,7,68,1260.109227,1205.373134,1204.458949
2020,1,7,69,1267.243145,1212.985075,1221.940862
2020,1,7,70,1272.755717,1222.835821,1237.629758
2020,1,7,71,1273.404255,1230.895522,1254.663416
2020,1,7,72,1280.538173,1240.298507,1272.145329
2020,1,7,73,1282.483787,1259.552239,1280.213904
2020,1,7,74,1290.590511,1270.298507,1300.833595
2020,1,7,75,1297.724428,1278.358209,1316.970746
2020,1,7,76,1299.670042,1285.522388,1330.866625
2020,1,7,77,1303.56127,1295.820896,1340.728216
2020,1,7,78,1305.182615,1297.164179,1351.934571
2020,1,7,79,1303.885539,1303.432836,1364.485687
2020,1,7,80,1303.56127,1304.776119,1376.140296
2020,1,7,81,1301.615656,1305.223881,1375.243787
2020,1,7,82,1292.860394,1304.776119,1380.622837
2020,1,7,83,1284.105131,1302.089552,1387.34665
2020,1,7,84,1275.998407,1294.925373,1391.380937
2020,1,7,85,1268.540221,1281.940299,1395.415225
2020,1,7,86,1260.757765,1281.940299,1413.793646
2020,1,7,87,1253.299579,1276.567164,1428.586033
2020,1,7,88,1245.841393,1271.641791,1429.482542
2020,1,7,89,1238.707475,1270.298507,1432.620321
2020,1,7,90,1231.573558,1267.61194,1442.033658
2020,1,7,91,1224.43964,1265.820896,1453.240013
2020,1,7,92,1217.954261,1263.134328,1459.067317
2020,1,7,93,1211.468882,1251.940299,1461.308588
2020,1,7,94,1205.307771,1240.746269,1465.791129
2020,1,7,95,1199.47093,1230.0,1463.998113
2020,1,7,96,1194.282626,1224.179104,1469.825417
2020,1,7,97,1186.175902,1225.970149,1498.065429
2020,1,7,98,1179.366253,1223.283582,1510.616546
2020,1,7,99,1171.259529,1220.597015,1518.236867
2020,1,7,100,1160.558653,1219.701493,1526.753696
2020,1,7,101,1152.12766,1219.253731,1530.339729
2020,1,7,102,1144.020935,1217.462687,1534.822271
2020,1,7,103,1133.968597,1217.014925,1538.408304
2020,1,7,104,1128.131756,1221.044776,1539.753067
2020,1,7,105,1120.3493,1227.761194,1545.132117
2020,1,7,106,1110.9455,1225.522388,1547.373388
2020,1,7,107,1108.027079,1222.835821,1554.0972
2020,1,7,108,1101.865969,1222.835821,1558.579742
2020,1,7,109,1106.405734,1228.656716,1577.854671
2020,1,7,110,1104.78439,1228.208955,1582.785467
2020,1,7,111,1100.893162,1224.179104,1589.50928
2020,1,7,112,1097.650472,1220.149254,1593.543567
2020,1,7,113,1094.732051,1216.567164,1597.129601
2020,1,7,114,1095.05632,1207.61194,1598.026109
2020,1,7,115,1092.786438,1196.41791,1599.370871
2020,1,7,116,1087.273865,1185.223881,1605.198176
2020,1,7,117,1082.085561,1172.238806,1608.335955
2020,1,7,118,1076.897258,1161.492537,1608.335955
2020,1,7,119,1074.627375,1148.507463,1615.059767
2020,1,7,120,1072.681761,1135.970149,1617.749292
2020,1,7,121,1069.763341,1104.179104,1640.610255
2020,1,7,122,1064.250768,1095.671642,1645.989305
2020,1,7,123,1064.899306,1087.164179,1653.161372
2020,1,7,124,1061.008078,1081.791045,1656.747405
2020,1,7,125,1054.19843,1076.41791,1658.092167
2020,1,7,126,1050.631471,1070.597015,1662.574709
2020,1,7,127,1047.71305,1067.910448,1663.919472
2020,1,7,128,1044.79463,1062.089552,1670.19503
2020,1,7,129,1044.146092,1065.671642,1670.19503
2020,1,7,130,1039.282057,1080.0,1675.125826
2020,1,7,131,1037.984981,1095.223881,1677.367097
2020,1,7,132,1036.363636,1105.522388,1677.815351
2020,1,7,133,1033.120947,1140.0,1689.918213
2020,1,7,134,1031.823871,1152.089552,1688.125197
2020,1,7,135,1032.14814,1163.731343,1690.366467
2020,1,7,136,1032.796678,1173.58209,1693.055992
2020,1,7,137,1032.472409,1182.537313,1693.055992
2020,1,7,138,1028.581181,1190.597015,1695.297263
2020,1,7,139,1027.932643,1195.074627,1696.642026
2020,1,7,140,1027.284105,1200.895522,1693.952501
2020,1,7,141,1026.311298,1202.686567,1695.745517
2020,1,7,142,1027.284105,1202.686567,1688.125197
2020,1,7,143,1025.987029,1202.238806,1690.814722
2020,1,7,144,1024.365684,1200.447761,1690.814722
2020,1,7,145,1028.581181,1184.776119,1698.435042
2020,1,7,146,1029.878257,1183.432836,1700.228059
