 ,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00.1
Hour-ahead forecast 5/01/2020,22426,22087,22087,22087,21845,21845,21845,21505,21505,21505,21231,21231,21231,20978,20978,20978,20749,20749,20749,20499,20499,20499,20327,20327,20327,20219,20219,20219,20081,20081,20081,19989,19989,19989,19939,19939,19939,19938,19938,19938,19865,19865,19865,19844,19844,19844,19800,19800,19800,19890,19890,19890,19963,19963,19963,19997,19997,19997,20064,20064,20064,20372,20372,20372,20616,20616,20616,20885,20885,20885,21048,21048,21048,21318,21318,21318,21465,21465,21465,21555,21555,21555,21630,21630,21630,21695,21695,21695,21717,21717,21717,21674,21674,21674,21869,21869,21869,21848,21848,21848,21796,21796,21796,21693,21693,21693,21619,21619,21619,21567,21567,21567,21582,21582,21582,21488,21488,21488,21252,21252,21252,21097,21097,21097,21095,21095,21095,21001,21001,21001,20945,20945,20945,20538,20538,20538,20540,20540,20540,20136,20136,20136,19987,19987,19987,20092,20092,20092,20153,20153,20153,20326,20326,20326,20418,20418,20418,20447,20447,20447,20600,20600,20600,20534,20534,20534,20923,20923,20923,21099,21099,21099,21317,21317,21317,21528,21528,21528,21782,21782,21782,22007,22007,22007,22293,22293,22293,22342,22342,22342,22683,22683,22683,22835,22835,22835,23197,23197,23197,23460,23460,23460,23683,23683,23683,24040,24040,24040,24524,24524,24524,24922,24922,24922,25418,25418,25418,25276,25276,25276,25618,25618,25618,26054,26054,26054,26174,26174,26174,26241,26241,26241,26386,26386,26386,26461,26461,26461,26678,26678,26678,26898,26898,26898,26972,26972,26972,26683,26683,26683,26530,26530,26530,26267,26267,26267,26096,26096,26096,25710,25710,25710,25306,25306,25306,24869,24869,24869,24515,24515,24515,24088,24088,24088,23672,23672,23672,23266,23266,23266,22965,22965,22965,22552,22552,22552,22131,22131,22131
Hour-ahead forecast 5/02/2020,22131,21845,21845,21845,21560,21560,21560,21155,21155,21155,20917,20917,20917,20668,20668,20668,20444,20444,20444,20229,20229,20229,20000,20000,20000,19887,19887,19887,19723,19723,19723,19628,19628,19628,19593,19593,19593,19507,19507,19507,19429,19429,19429,19368,19368,19368,19316,19316,19316,19364,19364,19364,19363,19363,19363,19348,19348,19348,19330,19330,19330,19410,19410,19410,19541,19541,19541,19631,19631,19631,19663,19663,19663,19661,19661,19661,19534,19534,19534,19421,19421,19421,19371,19371,19371,19443,19443,19443,19298,19298,19298,19108,19108,19108,18972,18972,18972,19027,19027,19027,18901,18901,18901,18699,18699,18699,18598,18598,18598,18569,18569,18569,18418,18418,18418,18275,18275,18275,18223,18223,18223,18234,18234,18234,18323,18323,18323,18164,18164,18164,18205,18205,18205,18270,18270,18270,18247,18247,18247,18217,18217,18217,18228,18228,18228,18321,18321,18321,18414,18414,18414,18506,18506,18506,18641,18641,18641,18676,18676,18676,19000,19000,19000,19142,19142,19142,19226,19226,19226,19136,19136,19136,19269,19269,19269,19469,19469,19469,19779,19779,19779,19953,19953,19953,20301,20301,20301,20644,20644,20644,20791,20791,20791,21026,21026,21026,21426,21426,21426,21847,21847,21847,22326,22326,22326,22752,22752,22752,23255,23255,23255,23494,23494,23494,23761,23761,23761,24160,24160,24160,24458,24458,24458,24683,24683,24683,24865,24865,24865,25051,25051,25051,25144,25144,25144,25355,25355,25355,25697,25697,25697,25930,25930,25930,25906,25906,25906,25793,25793,25793,25440,25440,25440,25196,25196,25196,24924,24924,24924,24530,24530,24530,24147,24147,24147,23705,23705,23705,23350,23350,23350,22961,22961,22961,22417,22417,22417,22365,22365,22365,21956,21956,21956,21596,21596,21596,21294,21294,21294
Hour-ahead forecast 5/03/2020,21294,20984,20984,20984,20753,20753,20753,20476,20476,20476,20266,20266,20266,20067,20067,20067,19832,19832,19832,19627,19627,19627,19481,19481,19481,19318,19318,19318,19175,19175,19175,19062,19062,19062,18992,18992,18992,18950,18950,18950,18827,18827,18827,18766,18766,18766,18689,18689,18689,18699,18699,18699,18642,18642,18642,18620,18620,18620,18627,18627,18627,18696,18696,18696,18753,18753,18753,18805,18805,18805,18778,18778,18778,18680,18680,18680,18510,18510,18510,18336,18336,18336,18283,18283,18283,18236,18236,18236,18036,18036,18036,17770,17770,17770,17679,17679,17679,17601,17601,17601,17282,17282,17282,17134,17134,17134,16758,16758,16758,16704,16704,16704,16625,16625,16625,16443,16443,16443,16358,16358,16358,16373,16373,16373,16341,16341,16341,16123,16123,16123,16121,16121,16121,16166,16166,16166,15978,15978,15978,16139,16139,16139,16185,16185,16185,16277,16277,16277,16420,16420,16420,16492,16492,16492,16570,16570,16570,16621,16621,16621,16772,16772,16772,16872,16872,16872,16969,16969,16969,17236,17236,17236,17488,17488,17488,17614,17614,17614,17774,17774,17774,18001,18001,18001,18337,18337,18337,18657,18657,18657,18967,18967,18967,19251,19251,19251,19730,19730,19730,20230,20230,20230,20733,20733,20733,21321,21321,21321,21750,21750,21750,22187,22187,22187,22627,22627,22627,23010,23010,23010,23424,23424,23424,23726,23726,23726,23913,23913,23913,24156,24156,24156,24365,24365,24365,24562,24562,24562,25046,25046,25046,25184,25184,25184,25044,25044,25044,24973,24973,24973,24762,24762,24762,24471,24471,24471,24219,24219,24219,23802,23802,23802,23450,23450,23450,23143,23143,23143,22825,22825,22825,22363,22363,22363,21886,21886,21886,21526,21526,21526,21225,21225,21225,20871,20871,20871,20567,20567,20567
Hour-ahead forecast 5/04/2020,20567,20321,20321,20321,20324,20324,20324,20069,20069,20069,19775,19775,19775,19547,19547,19547,19195,19195,19195,18981,18981,18981,18804,18804,18804,18733,18733,18733,18582,18582,18582,18532,18532,18532,18492,18492,18492,18499,18499,18499,18463,18463,18463,18411,18411,18411,18470,18470,18470,18644,18644,18644,18733,18733,18733,18849,18849,18849,18998,18998,18998,19359,19359,19359,19652,19652,19652,19929,19929,19929,20085,20085,20085,20420,20420,20420,20583,20583,20583,20716,20716,20716,20830,20830,20830,21073,21073,21073,21005,21005,21005,20816,20816,20816,20925,20925,20925,21060,21060,21060,20996,20996,20996,20983,20983,20983,20739,20739,20739,20710,20710,20710,20601,20601,20601,20410,20410,20410,20350,20350,20350,20264,20264,20264,20254,20254,20254,20127,20127,20127,20252,20252,20252,20241,20241,20241,20074,20074,20074,20204,20204,20204,20491,20491,20491,20606,20606,20606,20792,20792,20792,20968,20968,20968,21172,21172,21172,21287,21287,21287,21514,21514,21514,21674,21674,21674,21838,21838,21838,22104,22104,22104,22338,22338,22338,22439,22439,22439,22697,22697,22697,23004,23004,23004,23432,23432,23432,23775,23775,23775,23978,23978,23978,24329,24329,24329,24765,24765,24765,25059,25059,25059,25485,25485,25485,25778,25778,25778,26277,26277,26277,26543,26543,26543,26930,26930,26930,26969,26969,26969,27381,27381,27381,27738,27738,27738,27868,27868,27868,27903,27903,27903,27707,27707,27707,27980,27980,27980,28140,28140,28140,28175,28175,28175,28136,28136,28136,27935,27935,27935,27596,27596,27596,27220,27220,27220,26822,26822,26822,26445,26445,26445,25930,25930,25930,25359,25359,25359,24933,24933,24933,24448,24448,24448,23941,23941,23941,23446,23446,23446,23142,23142,23142,22725,22725,22725,22252,22252,22252
Hour-ahead forecast 5/05/2020,22252,22096,22096,22096,21754,21754,21754,21376,21376,21376,21100,21100,21100,20820,20820,20820,20583,20583,20583,20299,20299,20299,20078,20078,20078,19972,19972,19972,19834,19834,19834,19659,19659,19659,19559,19559,19559,19508,19508,19508,19432,19432,19432,19383,19383,19383,19412,19412,19412,19554,19554,19554,19650,19650,19650,19728,19728,19728,19828,19828,19828,20144,20144,20144,20397,20397,20397,20700,20700,20700,20849,20849,20849,21176,21176,21176,21289,21289,21289,21352,21352,21352,21417,21417,21417,21702,21702,21702,21722,21722,21722,21647,21647,21647,21710,21710,21710,21789,21789,21789,21778,21778,21778,21753,21753,21753,21662,21662,21662,21665,21665,21665,21706,21706,21706,21608,21608,21608,21624,21624,21624,21643,21643,21643,21626,21626,21626,21682,21682,21682,21708,21708,21708,21699,21699,21699,21772,21772,21772,21884,21884,21884,22049,22049,22049,22283,22283,22283,22552,22552,22552,22874,22874,22874,23251,23251,23251,23582,23582,23582,23876,23876,23876,24139,24139,24139,24457,24457,24457,24802,24802,24802,25218,25218,25218,25545,25545,25545,25876,25876,25876,26024,26024,26024,26465,26465,26465,26796,26796,26796,27223,27223,27223,27421,27421,27421,27779,27779,27779,28151,28151,28151,28511,28511,28511,28912,28912,28912,29450,29450,29450,29683,29683,29683,29908,29908,29908,29778,29778,29778,30099,30099,30099,30341,30341,30341,30335,30335,30335,30203,30203,30203,30196,30196,30196,30133,30133,30133,30013,30013,30013,29973,29973,29973,29762,29762,29762,29500,29500,29500,29158,29158,29158,28641,28641,28641,28250,28250,28250,27711,27711,27711,27192,27192,27192,26567,26567,26567,26062,26062,26062,25570,25570,25570,24978,24978,24978,24411,24411,24411,24007,24007,24007,23526,23526,23526,23080,23080,23080
Hour-ahead forecast 5/06/2020,23080,22774,22774,22774,22442,22442,22442,22161,22161,22161,21885,21885,21885,21598,21598,21598,21353,21353,21353,21085,21085,21085,20875,20875,20875,20719,20719,20719,20554,20554,20554,20356,20356,20356,20255,20255,20255,20187,20187,20187,20097,20097,20097,20037,20037,20037,20029,20029,20029,20164,20164,20164,20187,20187,20187,20272,20272,20272,20384,20384,20384,20706,20706,20706,20975,20975,20975,21177,21177,21177,21303,21303,21303,21555,21555,21555,21661,21661,21661,21719,21719,21719,21858,21858,21858,22134,22134,22134,22173,22173,22173,22183,22183,22183,22213,22213,22213,22336,22336,22336,22344,22344,22344,22267,22267,22267,22215,22215,22215,22165,22165,22165,22166,22166,22166,22094,22094,22094,22110,22110,22110,22132,22132,22132,22113,22113,22113,22148,22148,22148,22244,22244,22244,22441,22441,22441,22282,22282,22282,22683,22683,22683,22846,22846,22846,23084,23084,23084,23534,23534,23534,23880,23880,23880,24178,24178,24178,24497,24497,24497,24814,24814,24814,25116,25116,25116,25409,25409,25409,25807,25807,25807,26340,26340,26340,26682,26682,26682,27117,27117,27117,27308,27308,27308,27760,27760,27760,27920,27920,27920,28403,28403,28403,28658,28658,28658,29074,29074,29074,29428,29428,29428,30032,30032,30032,30324,30324,30324,30725,30725,30725,30986,30986,30986,31311,31311,31311,31430,31430,31430,31589,31589,31589,31766,31766,31766,31704,31704,31704,31527,31527,31527,31280,31280,31280,31144,31144,31144,31157,31157,31157,31109,31109,31109,30861,30861,30861,30551,30551,30551,30117,30117,30117,29608,29608,29608,29138,29138,29138,28568,28568,28568,27976,27976,27976,27292,27292,27292,26806,26806,26806,26192,26192,26192,25578,25578,25578,24947,24947,24947,24486,24486,24486,24049,24049,24049,23445,23445,23445
Hour-ahead forecast 5/07/2020,23445,23190,23190,23190,22887,22887,22887,22522,22522,22522,22058,22058,22058,21647,21647,21647,21410,21410,21410,21280,21280,21280,21002,21002,21002,20789,20789,20789,20682,20682,20682,20496,20496,20496,20405,20405,20405,20278,20278,20278,20170,20170,20170,20110,20110,20110,20066,20066,20066,20167,20167,20167,20242,20242,20242,20293,20293,20293,20402,20402,20402,20721,20721,20721,20978,20978,20978,21277,21277,21277,21383,21383,21383,21795,21795,21795,21547,21547,21547,21608,21608,21608,21919,21919,21919,22112,22112,22112,22130,22130,22130,22239,22239,22239,22307,22307,22307,22377,22377,22377,22432,22432,22432,22422,22422,22422,22548,22548,22548,22647,22647,22647,22721,22721,22721,22629,22629,22629,22745,22745,22745,22799,22799,22799,22999,22999,22999,23101,23101,23101,23395,23395,23395,23528,23528,23528,23703,23703,23703,23958,23958,23958,24231,24231,24231,24673,24673,24673,24996,24996,24996,25249,25249,25249,25797,25797,25797,26149,26149,26149,26704,26704,26704,27128,27128,27128,27490,27490,27490,27793,27793,27793,28209,28209,28209,28464,28464,28464,28936,28936,28936,29104,29104,29104,29453,29453,29453,29790,29790,29790,29916,29916,29916,30133,30133,30133,30780,30780,30780,31041,31041,31041,31425,31425,31425,31642,31642,31642,32070,32070,32070,32342,32342,32342,32524,32524,32524,32586,32586,32586,32742,32742,32742,32863,32863,32863,32692,32692,32692,32464,32464,32464,32261,32261,32261,32066,32066,32066,31952,31952,31952,31848,31848,31848,31563,31563,31563,31242,31242,31242,30824,30824,30824,30355,30355,30355,29879,29879,29879,29370,29370,29370,28807,28807,28807,28177,28177,28177,27598,27598,27598,26985,26985,26985,26372,26372,26372,25797,25797,25797,25248,25248,25248,24772,24772,24772,24246,24246,24246
Hour-ahead forecast 5/08/2020,24246,23872,23872,23872,23575,23575,23575,23094,23094,23094,22551,22551,22551,22371,22371,22371,22079,22079,22079,21830,21830,21830,21711,21711,21711,21589,21589,21589,21366,21366,21366,21202,21202,21202,21035,21035,21035,20907,20907,20907,20781,20781,20781,20699,20699,20699,20646,20646,20646,20729,20729,20729,20777,20777,20777,20864,20864,20864,20913,20913,20913,21222,21222,21222,21408,21408,21408,21624,21624,21624,21719,21719,21719,22022,22022,22022,22052,22052,22052,22138,22138,22138,22241,22241,22241,22448,22448,22448,22475,22475,22475,22482,22482,22482,22562,22562,22562,22770,22770,22770,22792,22792,22792,22768,22768,22768,22774,22774,22774,22792,22792,22792,22830,22830,22830,22925,22925,22925,22957,22957,22957,23096,23096,23096,23232,23232,23232,23348,23348,23348,23514,23514,23514,23653,23653,23653,23883,23883,23883,24118,24118,24118,24469,24469,24469,24803,24803,24803,25120,25120,25120,25475,25475,25475,25880,25880,25880,26259,26259,26259,26661,26661,26661,27012,27012,27012,27304,27304,27304,27587,27587,27587,28092,28092,28092,28443,28443,28443,28821,28821,28821,29092,29092,29092,29385,29385,29385,29807,29807,29807,30011,30011,30011,30137,30137,30137,30472,30472,30472,30847,30847,30847,31025,31025,31025,31092,31092,31092,31616,31616,31616,31720,31720,31720,32043,32043,32043,31941,31941,31941,32192,32192,32192,32066,32066,32066,31815,31815,31815,31713,31713,31713,31633,31633,31633,31568,31568,31568,31141,31141,31141,31249,31249,31249,31088,31088,31088,30715,30715,30715,30344,30344,30344,29853,29853,29853,29463,29463,29463,28969,28969,28969,28432,28432,28432,27867,27867,27867,27334,27334,27334,26740,26740,26740,26124,26124,26124,25639,25639,25639,25078,25078,25078,24658,24658,24658,24218,24218,24218
Hour-ahead forecast 5/09/2020,24218,23800,23800,23800,23499,23499,23499,23091,23091,23091,22706,22706,22706,22367,22367,22367,22034,22034,22034,21794,21794,21794,21566,21566,21566,21387,21387,21387,21188,21188,21188,20984,20984,20984,20834,20834,20834,20698,20698,20698,20555,20555,20555,20425,20425,20425,20333,20333,20333,20324,20324,20324,20322,20322,20322,20299,20299,20299,20314,20314,20314,20385,20385,20385,20437,20437,20437,20508,20508,20508,20427,20427,20427,20479,20479,20479,20419,20419,20419,20306,20306,20306,20272,20272,20272,20158,20158,20158,20403,20403,20403,20416,20416,20416,20201,20201,20201,20366,20366,20366,20386,20386,20386,20423,20423,20423,20451,20451,20451,20472,20472,20472,20422,20422,20422,20401,20401,20401,20334,20334,20334,20329,20329,20329,20277,20277,20277,20254,20254,20254,20177,20177,20177,20450,20450,20450,20589,20589,20589,20666,20666,20666,20898,20898,20898,21112,21112,21112,21265,21265,21265,21474,21474,21474,21759,21759,21759,21949,21949,21949,22133,22133,22133,22465,22465,22465,22741,22741,22741,23021,23021,23021,23404,23404,23404,23742,23742,23742,24093,24093,24093,24407,24407,24407,24780,24780,24780,25186,25186,25186,25495,25495,25495,25849,25849,25849,26289,26289,26289,26736,26736,26736,27022,27022,27022,27393,27393,27393,27784,27784,27784,28087,28087,28087,28380,28380,28380,28527,28527,28527,28677,28677,28677,28755,28755,28755,28849,28849,28849,28797,28797,28797,28631,28631,28631,28498,28498,28498,28633,28633,28633,28763,28763,28763,28787,28787,28787,28571,28571,28571,28260,28260,28260,27864,27864,27864,27527,27527,27527,27116,27116,27116,26569,26569,26569,26065,26065,26065,25727,25727,25727,25247,25247,25247,24690,24690,24690,24178,24178,24178,23777,23777,23777,23363,23363,23363,22945,22945,22945
Hour-ahead forecast 5/10/2020,22945,22573,22573,22573,22369,22369,22369,21948,21948,21948,21594,21594,21594,21295,21295,21295,21042,21042,21042,20781,20781,20781,20520,20520,20520,20362,20362,20362,20171,20171,20171,19962,19962,19962,19833,19833,19833,19751,19751,19751,19627,19627,19627,19522,19522,19522,19438,19438,19438,19464,19464,19464,19417,19417,19417,19397,19397,19397,19390,19390,19390,19433,19433,19433,19458,19458,19458,19491,19491,19491,19457,19457,19457,19366,19366,19366,19283,19283,19283,19155,19155,19155,19117,19117,19117,19152,19152,19152,19070,19070,19070,19026,19026,19026,19124,19124,19124,19248,19248,19248,19133,19133,19133,19113,19113,19113,19110,19110,19110,19163,19163,19163,19146,19146,19146,19128,19128,19128,19055,19055,19055,19084,19084,19084,19034,19034,19034,19074,19074,19074,19076,19076,19076,19047,19047,19047,19007,19007,19007,18990,18990,18990,18959,18959,18959,18881,18881,18881,18977,18977,18977,19025,19025,19025,19041,19041,19041,19077,19077,19077,19174,19174,19174,19265,19265,19265,19508,19508,19508,19616,19616,19616,19901,19901,19901,20069,20069,20069,20252,20252,20252,20639,20639,20639,20948,20948,20948,21348,21348,21348,21616,21616,21616,21821,21821,21821,22319,22319,22319,22635,22635,22635,22889,22889,22889,23300,23300,23300,23770,23770,23770,24209,24209,24209,24575,24575,24575,24876,24876,24876,25102,25102,25102,25270,25270,25270,25453,25453,25453,25522,25522,25522,25597,25597,25597,25747,25747,25747,25942,25942,25942,26104,26104,26104,26087,26087,26087,25864,25864,25864,25585,25585,25585,25327,25327,25327,24978,24978,24978,24621,24621,24621,24248,24248,24248,23942,23942,23942,23617,23617,23617,23206,23206,23206,22734,22734,22734,22293,22293,22293,21934,21934,21934,21608,21608,21608,21252,21252,21252
