 ,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00.1
Net Demand 05/01/2020,22140,22091,22080,21907,21826,21734,21631,21534,21464,21375,21295,21206,21104,21022,20929,20849,20802,20740,20665,20616,20571,20490,20416,20389,20331,20311,20342,20331,20285,20219,20170,20117,20101,20081,19956,20003,19969,19954,19927,19913,19873,19840,19825,19802,19806,19780,19755,19771,19763,19808,19814,19843,19843,19873,19852,19939,19933,19971,20000,20004,20079,20263,20371,20471,20522,20588,20646,20733,20785,20843,20917,20977,21004,21164,21237,21311,21315,21298,21286,21331,21351,21352,21365,21413,21464,21535,21639,21733,21785,21843,21766,21799,21760,21730,21651,21693,21750,21725,21876,21864,21811,21827,21804,21790,21758,21722,21716,21717,21689,21702,21699,21615,21572,21488,21366,21317,21213,21192,21181,21213,21168,21113,21035,20903,20910,20917,20866,20803,20655,20613,20581,20551,20544,19998,20023,19922,19941,20107,20123,20107,20062,20068,20062,20105,20095,20071,20098,20105,20133,20164,20173,20213,20258,20350,20330,20389,20444,20471,20514,20546,20589,20640,20689,20759,20827,20868,20898,20977,21071,21101,21150,21226,21305,21400,21464,21499,21511,21609,21692,21796,21802,21718,21869,21993,22050,22125,22219,22315,22374,22537,22608,22679,22747,22736,22786,22843,22939,23120,23271,23397,23482,23651,23789,23916,24078,24153,24316,24526,24686,24846,24995,25004,24865,25108,25340,25451,25531,25540,25629,25707,25894,25938,26024,26065,26141,26220,26251,26278,26324,26288,26270,26277,26292,26325,26318,26360,26434,26486,26617,26769,26749,26863,26844,26888,26954,26980,26871,26785,26733,26715,26625,26544,26423,26346,26299,26198,26092,25992,25854,25763,25623,25512,25378,25307,25143,25010,24855,24691,24614,24481,24329,24199,24082,23903,23790,23658,23531,23345,23213,23048,22941,22757,22627,22523,22411,22253,22106,21927,
Net Demand 05/02/2020,21784,21691,21732,21611,21578,21453,21377,21261,21183,21059,20993,20878,20826,20752,20704,20608,20557,20367,20309,20344,20279,20231,20171,20075,20049,19992,19960,19959,19900,19855,19804,19783,19745,19691,19633,19611,19569,19552,19521,19519,19485,19451,19453,19409,19379,19340,19339,19318,19310,19313,19322,19325,19306,19248,19238,19230,19241,19266,19220,19318,19335,19405,19461,19511,19516,19515,19542,19610,19607,19566,19627,19575,19547,19582,19555,19523,19474,19409,19396,19370,19337,19301,19241,19193,19094,19100,19201,19114,19097,19022,18983,18967,18937,18923,18878,18838,18748,18793,18840,18825,18752,18769,18712,18669,18612,18610,18549,18502,18408,18415,18425,18416,18363,18326,18300,18270,18245,18266,18332,18317,18316,18237,18262,18218,18246,18236,18240,18249,18282,18231,18128,18146,18141,18157,18185,18171,18189,18210,18218,18222,18261,18268,18285,18288,18262,18265,18304,18373,18380,18397,18397,18400,18487,18625,18694,18738,18765,18802,18831,18883,18862,18954,19022,19020,18680,18724,18883,18923,19006,18990,18969,19072,19178,19263,19316,19408,19515,19580,19712,19785,19867,19916,19973,20062,20128,20282,20383,20514,20647,20737,20829,20954,21057,21164,21255,21369,21545,21705,21827,21949,22071,22221,22359,22530,22685,22736,22816,22988,23108,23222,23404,23550,23699,23852,23956,24070,24150,24252,24332,24461,24555,24632,24769,24818,24843,24906,24911,24948,25013,25050,25094,25116,25142,25185,25232,25297,25345,25450,25575,25641,25726,25798,25798,25831,25772,25796,25756,25680,25631,25540,25460,25351,25243,25137,25026,24930,24843,24758,24626,24520,24401,24287,24191,23967,23617,23527,23425,23300,23150,23181,23205,23067,22933,22841,22704,22594,22486,22381,22209,22112,21958,21844,21688,21576,21450,21331,21218,21111,
Net Demand 05/03/2020,21021,20982,21053,20956,20876,20747,20698,20584,20506,20438,20342,20266,20206,20110,20025,20019,19902,19888,19796,19742,19658,19596,19545,19496,19448,19428,19441,19368,19324,19284,19239,19200,19175,19097,19057,19010,18967,18955,18937,18913,18874,18842,18815,18810,18771,18733,18715,18692,18661,18685,18694,18681,18673,18657,18653,18645,18617,18630,18621,18619,18630,18674,18725,18735,18772,18766,18748,18793,18791,18785,18761,18737,18693,18654,18583,18556,18480,18413,18379,18344,18288,18201,18153,18054,17951,17940,18009,17998,17945,17873,17795,17735,17647,17617,17541,17525,17263,17047,17164,17193,17158,17143,17022,16962,16961,16896,16858,16841,16794,16760,16784,16759,16692,16637,16611,16587,16576,16520,16506,16479,16354,16293,16175,16133,16142,16153,16232,16198,16186,16149,16131,16148,16142,16156,16142,16152,16173,16205,16174,16179,16212,16228,16231,16266,16227,16234,16273,16305,16322,16356,16405,16433,16455,16463,16452,16481,16530,16542,16579,16619,16637,16694,16725,16787,16834,16885,16940,16997,17009,17043,17091,17145,17189,17277,17385,17447,17482,17591,17684,17758,17838,17934,18040,18168,18269,18351,18471,18554,18657,18777,18928,19036,19168,19309,19466,19593,19664,19884,20065,20200,20364,20552,20723,20887,21047,21151,21320,21454,21647,21826,22012,22164,22332,22469,22645,22799,22964,22999,23110,23215,23375,23516,23642,23708,23833,23917,23959,24022,24043,24111,24225,24277,24296,24338,24370,24430,24506,24599,24651,24727,24832,24942,25003,25022,25082,25081,25073,25006,24930,24853,24797,24725,24612,24530,24442,24368,24256,24249,24189,24016,23881,23794,23691,23573,23449,23291,23174,23006,22857,22703,22570,22449,22317,22183,22065,21895,21719,21578,21487,21347,21205,21137,21022,20895,20799,20655,20576,20472,
Net Demand 05/04/2020,20366,20309,20209,20094,20017,19915,19867,19760,19687,19628,19547,19484,19398,19340,19290,19225,19144,19098,19017,18960,18920,18865,18814,18774,18707,18741,18756,18731,18701,18634,18584,18568,18543,18514,18496,18444,18419,18428,18433,18426,18448,18407,18429,18383,18419,18392,18408,18405,18420,18490,18579,18591,18656,18686,18712,18742,18779,18818,18891,18889,18965,19124,19305,19365,19481,19549,19606,19695,19786,19848,19904,19904,19955,20158,20289,20328,20342,20385,20354,20476,20547,20553,20581,20632,20640,20711,20860,20900,20940,20942,20956,20980,20993,20908,20922,20932,20959,21004,21120,21082,21041,20987,20921,20875,20863,20806,20818,20759,20721,20695,20652,20622,20582,20559,20513,20490,20442,20427,20445,20437,20355,20368,20395,20379,20363,20383,20363,20324,20323,20361,20144,20157,20135,20159,20182,20333,20406,20431,20464,20481,20500,20524,20578,20624,20655,20678,20740,20789,20842,20875,20884,20919,20967,21034,21129,21157,21214,21278,21319,21374,21479,21499,21571,21668,21695,21752,21824,21897,21945,21922,21936,22021,22122,22194,22264,22364,22458,22571,22683,22809,22906,23021,23122,23212,23291,23425,23534,23670,23777,23909,24038,24189,24264,24274,24372,24509,24645,24793,24914,25053,25194,25326,25481,25651,25793,25760,25789,25968,26150,26288,26367,26517,26696,26780,26932,27064,27210,27246,27256,27411,27536,27631,27728,27809,27828,27878,27862,27665,27709,27827,27811,27830,27813,27759,27768,27725,27784,27802,27874,27942,28010,28065,28083,28099,28123,28067,28012,27952,27856,27772,27661,27536,27415,27303,27182,27073,26947,26823,26662,26530,26384,26229,26093,25967,25787,25563,25411,25284,25138,24984,24817,24642,24479,24313,24151,23993,23828,23658,23497,23339,23195,23002,22844,22722,22599,22471,22341,22239,
Net Demand 05/05/2020,22093,22006,21921,21809,21698,21628,21538,21409,21292,21230,21132,21040,20918,20849,20727,20675,20600,20529,20441,20346,20285,20234,20147,20098,20036,19961,19915,19886,19838,19794,19746,19714,19645,19638,19587,19551,19508,19494,19515,19500,19471,19448,19415,19394,19391,19420,19414,19406,19415,19494,19598,19600,19630,19640,19680,19681,19726,19745,19757,19813,19889,20012,20204,20310,20402,20440,20479,20601,20667,20688,20749,20748,20774,20889,21051,21139,21146,21175,21186,21282,21357,21346,21378,21429,21453,21591,21777,21810,21795,21826,21787,21781,21715,21731,21732,21695,21779,21849,21860,21851,21823,21795,21756,21706,21720,21713,21716,21655,21629,21615,21651,21673,21650,21637,21587,21573,21557,21548,21520,21508,21502,21506,21522,21522,21536,21521,21539,21556,21536,21558,21503,21537,21556,21624,21718,21736,21786,21821,21879,21856,21934,22037,22124,22178,22259,22381,22500,22603,22690,22787,22892,22946,23058,23165,23296,23343,23440,23524,23756,23729,23824,23934,24033,24122,24273,24403,24521,24633,24711,24861,24868,24976,25061,25291,25288,25575,25744,25630,25722,25936,25944,26037,26131,26303,26439,26547,26652,26774,26875,27008,27150,27259,27373,27452,27591,27657,27779,27936,27967,28005,28131,28472,28625,28772,28907,28964,28972,29155,29279,29365,29540,29636,29751,29599,29762,30094,30225,29959,29988,30034,30158,30256,30336,30410,30349,30366,30296,30391,30363,30182,29885,29880,29823,29771,29763,29754,29729,29663,29639,29714,29766,29737,29772,29787,29770,29715,29643,29505,29415,29289,29165,29046,28903,28721,28619,28473,28315,28157,28025,27857,27705,27532,27357,27195,26967,26749,26626,26427,26214,26070,25881,25698,25479,25342,25155,24960,24710,24556,24366,24200,24016,23867,23699,23538,23366,23259,23086,22957,
Net Demand 05/06/2020,22795,22739,22791,22650,22487,22440,22355,22236,22119,22011,21917,21832,21724,21609,21550,21431,21338,21266,21218,21137,21065,20984,20925,20847,20771,20705,20637,20615,20550,20484,20474,20389,20347,20329,20278,20237,20183,20178,20152,20131,20113,20108,20114,20086,20078,20051,20029,20015,19973,20046,20088,20145,20176,20226,20229,20267,20297,20315,20360,20374,20442,20559,20710,20835,20857,20914,20952,21007,21090,21130,21148,21182,21220,21338,21518,21563,21576,21571,21572,21669,21769,21766,21802,21859,21964,22077,22200,22215,22200,22252,22219,22240,22286,22213,22205,22190,22176,22245,22352,22307,22275,22277,22191,22193,22205,22169,22171,22077,22108,22091,22127,22135,22131,22101,22074,22046,22048,21970,21976,21942,21955,21925,21987,21988,21948,22064,22111,21905,21898,22051,21978,22180,22270,22264,22327,22395,22434,22482,22541,22609,22741,22833,22914,23108,23152,23229,23361,23451,23514,23557,23679,23813,23903,24014,24156,24233,24320,24498,24564,24576,24631,24821,24919,25102,25196,25366,25529,25682,25749,25863,25971,26154,26256,26395,26412,26545,26624,26769,26996,27071,27170,27189,27331,27492,27622,27756,27850,27958,28082,28214,28382,28485,28557,28646,28786,28948,29102,29343,29506,29654,29745,29922,30088,30287,30422,30376,30395,30588,30719,30858,30977,31242,31322,31410,31476,31577,31652,31575,31584,31623,31726,31675,31742,31747,31705,31697,31691,31615,31503,31432,31318,31275,31193,31107,31130,30951,30915,30883,30871,30869,30906,30848,30865,30768,30722,30680,30608,30466,30349,30245,30112,29972,29812,29663,29508,29296,29160,29034,28860,28659,28491,28309,28150,27930,27711,27480,27315,27105,26908,26700,26489,26263,26120,25894,25677,25470,25334,25091,24889,24677,24476,24310,24115,23985,23846,23617,23492,23403,
Net Demand 05/07/2020,23279,23144,23064,22901,22777,22714,22543,22377,22258,22051,22017,22013,21939,21837,21765,21659,21561,21498,21424,21185,21140,21145,21030,20994,20901,20843,20789,20748,20696,20638,20600,20544,20487,20414,20368,20301,20281,20281,20263,20201,20201,20148,20139,20104,20104,20062,20047,20031,20057,20122,20127,20200,20217,20207,20191,20262,20302,20323,20361,20408,20447,20621,20788,20894,20959,20995,21077,21188,21247,21279,21288,21041,21014,21190,21306,21356,21550,21611,21599,21663,21724,21747,21770,21786,21860,22018,22123,22188,22208,22202,22211,22212,22188,22214,22225,22190,22228,22335,22466,22500,22590,22598,22574,22563,22558,22512,22504,22501,22459,22529,22547,22589,22625,22608,22564,22530,22579,22637,22703,22696,22751,22810,22746,22883,22977,23060,23151,23148,23106,23205,23234,23300,23455,23500,23556,23685,23677,23825,23906,24020,24080,24196,24294,24448,24445,24623,24647,24823,24929,25235,25260,25335,25471,25656,25800,25920,26068,26200,26385,26496,26615,26750,26855,26950,27098,27241,27410,27516,27638,27664,27739,27901,28032,28158,28222,28252,28369,28497,28572,28720,28876,29006,29119,29211,29404,29238,29317,29458,29573,29740,30050,30246,30368,30283,30372,30526,30665,30780,30969,31104,31213,31307,31510,31641,31781,31810,31814,31936,32059,32225,32336,32500,32581,32644,32737,32781,32797,32824,32737,32767,32782,32883,32905,32853,32815,32797,32769,32703,32637,32492,32330,32205,32150,32084,31967,31905,31836,31782,31720,31690,31670,31665,31603,31525,31538,31490,31395,31322,31173,31064,30922,30768,30598,30479,30389,30231,30048,29898,29800,29601,29420,29208,29060,28846,28596,28352,28125,27941,27744,27555,27373,27160,26963,26705,26518,26308,26070,25913,25697,25506,25272,25139,24967,24777,24592,24432,24294,24128,
Net Demand 05/08/2020,23975,23839,23705,23490,23222,23255,23171,23074,22975,22861,22758,22654,22508,22439,22483,22422,22334,22255,22149,22042,21976,21902,21792,21704,21654,21571,21519,21434,21385,21310,21227,21150,21137,21066,20981,20952,20950,20906,20876,20846,20810,20762,20747,20722,20670,20680,20635,20640,20644,20680,20721,20740,20754,20747,20749,20792,20804,20794,20855,20880,20939,21104,21235,21304,21376,21422,21465,21552,21614,21656,21658,21612,21662,21793,21895,21934,21951,21975,22009,22000,22077,22071,22096,22178,22188,22268,22510,22543,22591,22589,22595,22625,22626,22596,22628,22591,22588,22673,22689,22768,22810,22730,22724,22714,22698,22660,22680,22701,22707,22707,22797,22813,22788,22826,22818,22886,22874,22901,22941,22942,22994,23010,23031,23084,23128,23150,23079,23270,23295,23353,23468,23484,23571,23677,23685,23809,23916,24015,24135,24208,24289,24402,24475,24548,24622,24748,24841,24958,25084,25201,25322,25410,25578,25724,25835,25921,25992,26094,26214,26292,26434,26575,26673,26768,26899,27060,27203,27381,27501,27590,27698,27849,27944,28054,28128,28305,28427,28541,28672,28784,28932,28967,28991,29105,29220,29358,29425,29531,29614,29736,29820,29995,30090,30144,30248,30394,30343,30388,30481,30627,30774,31017,31290,31385,31457,31423,31455,31527,31664,31760,31902,31942,32014,32105,32207,32330,32358,32226,32107,31807,31887,32083,32175,32230,32223,32206,32168,32187,32224,31872,31699,31561,31556,31502,31370,31339,31300,31257,31239,31223,31170,31147,31131,31075,31052,30990,30904,30759,30664,30507,30377,30242,30114,30013,29894,29738,29582,29428,29265,29091,28946,28768,28571,28409,28212,27997,27777,27573,27388,27202,27020,26865,26718,26511,26308,26130,25939,25741,25593,25409,25222,25056,24879,24716,24576,24427,24259,24113,
Net Demand 05/09/2020,23926,23835,23823,23683,23539,23424,23275,23171,23037,22936,22798,22678,22573,22473,22454,22366,22244,22143,22061,21951,21859,21755,21661,21579,21507,21437,21363,21283,21227,21168,21105,21040,20979,20918,20851,20802,20742,20686,20668,20626,20575,20524,20493,20468,20414,20393,20364,20330,20296,20319,20339,20326,20313,20294,20277,20288,20294,20286,20278,20259,20269,20360,20404,20407,20410,20421,20432,20489,20500,20507,20499,20446,20427,20446,20437,20398,20340,20325,20315,20129,20061,20149,20252,20238,20196,20264,20299,20255,20242,20239,20202,20216,20203,20255,20248,20184,20132,20304,20433,20446,20449,20421,20383,20398,20394,20335,20311,20324,20298,20328,20350,20315,20263,20236,20175,20183,20157,20194,20191,20110,20101,20109,20130,20160,20141,19915,19939,20091,20201,20194,20209,20256,20285,20344,20394,20428,20492,20557,20595,20628,20660,20744,20825,20877,20926,20948,21015,21109,21191,21255,21326,21408,21490,21580,21642,21708,21783,21827,21888,22053,22091,22222,22324,22402,22488,22592,22696,22816,22902,23003,23059,23206,23331,23448,23573,23703,23812,23901,23998,24138,24246,24324,24448,24579,24672,24801,24919,25099,25244,25340,25509,25705,25831,25900,26026,26275,26306,26342,26499,26689,26728,26927,27082,27240,27421,27436,27599,27700,27739,27911,28086,28144,28204,28299,28407,28513,28611,28621,28614,28707,28765,28827,28889,28898,28899,28926,28894,28855,28827,28786,28751,28698,28599,28721,28660,28647,28623,28660,28664,28765,28752,28801,28795,28788,28787,28761,28677,28604,28526,28401,28290,28168,28062,27953,27845,27705,27561,27441,27298,27176,27008,26863,26727,26631,26424,26235,26036,25873,25737,25587,25435,25262,25109,24940,24793,24662,24484,24296,24137,23992,23814,23706,23547,23399,23265,23128,22995,22843,
Net Demand 05/10/2020,22724,22604,22501,22389,22277,22167,22069,21976,21858,21759,21684,21573,21476,21376,21286,21188,21076,20983,20909,20822,20755,20684,20581,20529,20445,20353,20348,20272,20199,20163,20109,20054,20017,19945,19915,19865,19820,19786,19754,19706,19669,19640,19592,19566,19544,19507,19472,19451,19439,19455,19467,19471,19466,19436,19411,19410,19409,19392,19379,19369,19364,19428,19545,19557,19543,19549,19552,19575,19573,19556,19542,19519,19463,19439,19426,19352,19268,19251,19206,19183,19182,19122,19070,19081,19057,19079,19120,19102,19109,19113,19129,19135,19143,19005,19018,18975,18972,18998,19112,19077,19148,19139,19108,19117,19120,19068,19106,19115,19107,19107,19169,19152,19051,19052,19070,19045,19069,19027,18997,18990,18991,19012,19036,19018,18990,18976,18958,18939,18932,18891,18858,18784,18761,18812,18827,18781,18836,18806,18770,18738,18763,18700,18718,18804,18826,18777,18753,18770,18783,18792,18809,18860,18854,18883,18909,18955,18960,18992,18907,18931,19109,19155,19167,19147,19234,19332,19372,19403,19488,19503,19517,19604,19626,19758,19847,19955,20052,20159,20261,20373,20486,20516,20595,20753,20914,20934,21000,21123,21209,21322,21479,21631,21698,21765,21839,21951,22044,22186,22336,22505,22583,22715,22906,23029,23189,23308,23456,23646,23782,23927,24058,24227,24332,24427,24542,24700,24743,24855,24902,24963,25059,25173,25276,25323,25333,25394,25416,25448,25452,25485,25535,25533,25535,25558,25603,25620,25616,25670,25764,25809,25835,25870,25947,25942,25955,25944,25900,25860,25789,25705,25633,25523,25429,25347,25300,25223,25138,25080,24985,24861,24775,24679,24564,24435,24289,24153,24030,23865,23718,23599,23460,23311,23154,22958,22822,22683,22556,22370,22262,22149,22015,21869,21737,21596,21477,21337,21203,21115,
